year,garnizon,sex,suicides,outcome
2007,Białystok,Male,185,Attempted
2007,Gdańsk,Male,225,Attempted
2007,Katowice,Male,409,Attempted
2007,Kielce,Male,119,Attempted
2007,Olsztyn,Male,229,Attempted
2007,Poznań,Male,321,Attempted
2007,Szczecin,Male,163,Attempted
2007,Warszawa,Male,147,Attempted
2008,Wrocław,Male,257,Attempted
2008,Bydgoszcz,Male,262,Attempted
2008,Lublin,Male,327,Attempted
2008,Gorzów Wlkp.,Male,157,Attempted
2008,Łódź,Male,299,Attempted
2008,Kraków,Male,308,Attempted
2008,Radom,Male,423,Attempted
2008,Opole,Male,119,Attempted
2008,Rzeszów,Male,192,Attempted
2008,Białystok,Male,202,Attempted
2008,Gdańsk,Male,237,Attempted
2008,Katowice,Male,411,Attempted
2008,Kielce,Male,118,Attempted
2008,Olsztyn,Male,268,Attempted
2008,Poznań,Male,297,Attempted
2008,Szczecin,Male,165,Attempted
2008,Warszawa,Male,165,Attempted
2009,Wrocław,Male,243,Attempted
2009,Bydgoszcz,Male,284,Attempted
2009,Lublin,Male,326,Attempted
2009,Gorzów Wlkp.,Male,233,Attempted
2009,Łódź,Male,385,Attempted
2009,Kraków,Male,390,Attempted
2009,Radom,Male,390,Attempted
2009,Opole,Male,150,Attempted
2009,Rzeszów,Male,210,Attempted
2009,Białystok,Male,204,Attempted
2009,Gdańsk,Male,275,Attempted
2009,Katowice,Male,580,Attempted
2009,Kielce,Male,132,Attempted
2009,Olsztyn,Male,291,Attempted
2009,Poznań,Male,368,Attempted
2009,Szczecin,Male,178,Attempted
2009,Warszawa,Male,200,Attempted
2010,Wrocław,Male,223,Attempted
2010,Bydgoszcz,Male,247,Attempted
2010,Lublin,Male,305,Attempted
2010,Gorzów Wlkp.,Male,143,Attempted
2010,Łódź,Male,363,Attempted
2010,Kraków,Male,397,Attempted
2010,Radom,Male,357,Attempted
2010,Opole,Male,137,Attempted
2010,Rzeszów,Male,212,Attempted
2010,Białystok,Male,198,Attempted
2010,Gdańsk,Male,224,Attempted
2010,Katowice,Male,557,Attempted
2010,Kielce,Male,179,Attempted
2010,Olsztyn,Male,289,Attempted
2010,Poznań,Male,313,Attempted
2010,Szczecin,Male,150,Attempted
2010,Warszawa,Male,186,Attempted
2011,Wrocław,Male,194,Attempted
2011,Bydgoszcz,Male,270,Attempted
2011,Lublin,Male,265,Attempted
2011,Gorzów Wlkp.,Male,175,Attempted
2011,Łódź,Male,357,Attempted
2011,Kraków,Male,358,Attempted
2011,Radom,Male,313,Attempted
2011,Opole,Male,112,Attempted
2011,Rzeszów,Male,167,Attempted
2011,Białystok,Male,174,Attempted
2011,Gdańsk,Male,222,Attempted
2011,Katowice,Male,583,Attempted
2011,Kielce,Male,149,Attempted
2011,Olsztyn,Male,228,Attempted
