garnizon,population
Warszawa,1790658
Białystok,293407
Bydgoszcz,354006
Gdańsk,582205
Gorzów Wlkp.,122141
Katowice,302397
Kielce,195942
Kraków,766683
Łódź,696708
Lublin,342039
Olsztyn,173718
Opole,118303
Poznań,540365
Radom,213715
Rzeszów,183901
Szczecin,404461
Wrocław,638659
