Year,Garnizon,Age,Suicides
2001,KWP Kraków,55-59,31
2001,KWP Opole,55-59,11
2001,KWP Katowice,55-59,42
2001,KWP Poznań,55-59,38
2001,KSP Warszawa,55-59,4
2001,Polska,55-59,320
2002,KWP Kraków,55-59,44
2002,KWP Opole,55-59,15
2002,KWP Katowice,55-59,42
2002,KWP Poznań,55-59,31
2002,KSP Warszawa,55-59,10
2002,Polska,55-59,339
2003,KWP Kraków,55-59,40
2003,KWP Opole,55-59,6
2003,KWP Katowice,55-59,48
2003,KWP Poznań,55-59,29
2003,KSP Warszawa,55-59,9
2003,Polska,55-59,346
2004,KWP Kraków,55-59,51
2004,KWP Opole,55-59,10
2004,KWP Katowice,55-59,40
2004,KWP Poznań,55-59,26
2004,KSP Warszawa,55-59,29
2004,Polska,55-59,412
2005,KWP Kraków,55-59,36
2005,KWP Opole,55-59,11
2005,KWP Katowice,55-59,52
2005,KWP Poznań,55-59,43
2005,KSP Warszawa,55-59,14
2005,Polska,55-59,434
2006,KWP Kraków,55-59,38
2006,KWP Opole,55-59,6
2006,KWP Katowice,55-59,42
2006,KWP Poznań,55-59,38
2006,KSP Warszawa,55-59,10
2006,Polska,55-59,399
2007,KWP Kraków,55-59,32
2007,KWP Opole,55-59,5
2007,KWP Katowice,55-59,40
2007,KWP Poznań,55-59,31
2007,KSP Warszawa,55-59,16
2007,Polska,55-59,349
2008,KWP Kraków,55-59,21
2008,KWP Opole,55-59,8
2008,KWP Katowice,55-59,35
2008,KWP Poznań,55-59,31
2008,KSP Warszawa,55-59,22
2008,Polska,55-59,443
2009,KWP Kraków,55-59,45
2009,KWP Opole,55-59,11
2009,KWP Katowice,55-59,62
2009,KWP Poznań,55-59,39
2009,KSP Warszawa,55-59,25
2009,Polska,55-59,529
2010,KWP Kraków,55-59,40
2010,KWP Opole,55-59,12
2010,KWP Katowice,55-59,49
2010,KWP Poznań,55-59,42
2010,KSP Warszawa,55-59,20
2010,Polska,55-59,496
2011,KWP Kraków,55-59,51
2011,KWP Opole,55-59,7
2011,KWP Katowice,55-59,41
2011,KWP Poznań,55-59,39
2011,KSP Warszawa,55-59,25
2011,Polska,55-59,480
2012,KWP Kraków,55-59,44
2012,KWP Opole,55-59,13
2012,KWP Katowice,55-59,47
2012,KWP Poznań,55-59,29
2012,KSP Warszawa,55-59,40
2012,Polska,55-59,517
1999,KWP Kraków,60-64,15
1999,KWP Opole,60-64,16
1999,KWP Katowice,60-64,40
1999,KWP Poznań,60-64,27
1999,KSP Warszawa,60-64,6
1999,Polska,60-64,270
2000,KWP Kraków,60-64,37
2000,KWP Opole,60-64,15
2000,KWP Katowice,60-64,37
2000,KWP Poznań,60-64,36
2000,KSP Warszawa,60-64,9
2000,Polska,60-64,299
2001,KWP Kraków,60-64,38
2001,KWP Opole,60-64,15
2001,KWP Katowice,60-64,32
2001,KWP Poznań,60-64,35
2001,KSP Warszawa,60-64,5
2001,Polska,60-64,278
2002,KWP Kraków,60-64,36
2002,KWP Opole,60-64,9
2002,KWP Katowice,60-64,46
2002,KWP Poznań,60-64,24
2002,KSP Warszawa,60-64,2
2002,Polska,60-64,284
2003,KWP Kraków,60-64,28
2003,KWP Opole,60-64,6
2003,KWP Katowice,60-64,34
2003,KWP Poznań,60-64,19
2003,KSP Warszawa,60-64,8
2003,Polska,60-64,266
2004,KWP Kraków,60-64,28
2004,KWP Opole,60-64,9
2004,KWP Katowice,60-64,30
2004,KWP Poznań,60-64,25
2004,KSP Warszawa,60-64,13
2004,Polska,60-64,279
2005,KWP Kraków,60-64,31
2005,KWP Opole,60-64,3
2005,KWP Katowice,60-64,42
2005,KWP Poznań,60-64,20
2005,KSP Warszawa,60-64,17
2005,Polska,60-64,273
2006,KWP Kraków,60-64,18
2006,KWP Opole,60-64,3
2006,KWP Katowice,60-64,34
2006,KWP Poznań,60-64,15
2006,KSP Warszawa,60-64,5
2006,Polska,60-64,214
2007,KWP Kraków,60-64,17
2007,KWP Opole,60-64,6
2007,KWP Katowice,60-64,22
2007,KWP Poznań,60-64,30
2007,KSP Warszawa,60-64,9
2007,Polska,60-64,220
2008,KWP Kraków,60-64,24
2008,KWP Opole,60-64,2
2008,KWP Katowice,60-64,19
2008,KWP Poznań,60-64,26
2008,KSP Warszawa,60-64,15
2008,Polska,60-64,261
2009,KWP Kraków,60-64,28
2009,KWP Opole,60-64,9
2009,KWP Katowice,60-64,29
2009,KWP Poznań,60-64,32
2009,KSP Warszawa,60-64,15
2009,Polska,60-64,311
2010,KWP Kraków,60-64,17
2010,KWP Opole,60-64,4
2010,KWP Katowice,60-64,44
2010,KWP Poznań,60-64,26
2010,KSP Warszawa,60-64,16
2010,Polska,60-64,314
2011,KWP Kraków,60-64,21
2011,KWP Opole,60-64,3
2011,KWP Katowice,60-64,38
2011,KWP Poznań,60-64,16
2011,KSP Warszawa,60-64,14
2011,Polska,60-64,291
2012,KWP Kraków,60-64,21
2012,KWP Opole,60-64,11
2012,KWP Katowice,60-64,31
2012,KWP Poznań,60-64,25
2012,KSP Warszawa,60-64,25
2012,Polska,60-64,379
1999,KWP Kraków,65-69,19
1999,KWP Opole,65-69,14
1999,KWP Katowice,65-69,16
1999,KWP Poznań,65-69,29
1999,KSP Warszawa,65-69,6
1999,Polska,65-69,224
2000,KWP Kraków,65-69,25
2000,KWP Opole,65-69,8
2000,KWP Katowice,65-69,21
2000,KWP Poznań,65-69,25
2000,KSP Warszawa,65-69,6
2000,Polska,65-69,227
2001,KWP Kraków,65-69,24
2001,KWP Opole,65-69,5
2001,KWP Katowice,65-69,22
2001,KWP Poznań,65-69,24
2001,KSP Warszawa,65-69,2
2001,Polska,65-69,210
2002,KWP Kraków,65-69,28
2002,KWP Opole,65-69,10
2002,KWP Katowice,65-69,32
2002,KWP Poznań,65-69,29
2002,KSP Warszawa,65-69,6
2002,Polska,65-69,279
2003,KWP Kraków,65-69,29
2003,KWP Opole,65-69,10
2003,KWP Katowice,65-69,27
2003,KWP Poznań,65-69,19
2003,KSP Warszawa,65-69,9
2003,Polska,65-69,233
2004,KWP Kraków,65-69,23
2004,KWP Opole,65-69,10
2004,KWP Katowice,65-69,21
2004,KWP Poznań,65-69,20
2004,KSP Warszawa,65-69,8
2004,Polska,65-69,220
2005,KWP Kraków,65-69,21
2005,KWP Opole,65-69,8
2005,KWP Katowice,65-69,30
2005,KWP Poznań,65-69,16
2005,KSP Warszawa,65-69,8
2005,Polska,65-69,214
2006,KWP Kraków,65-69,18
2006,KWP Opole,65-69,11
2006,KWP Katowice,65-69,20
2006,KWP Poznań,65-69,12
2006,KSP Warszawa,65-69,3
2006,Polska,65-69,190
2007,KWP Kraków,65-69,11
2007,KWP Opole,65-69,6
2007,KWP Katowice,65-69,19
2007,KWP Poznań,65-69,21
2007,KSP Warszawa,65-69,3
2007,Polska,65-69,175
2008,KWP Kraków,65-69,12
2008,KWP Opole,65-69,3
2008,KWP Katowice,65-69,23
2008,KWP Poznań,65-69,17
2008,KSP Warszawa,65-69,6
2008,Polska,65-69,181
2009,KWP Kraków,65-69,24
2009,KWP Opole,65-69,7
2009,KWP Katowice,65-69,20
2009,KWP Poznań,65-69,21
2009,KSP Warszawa,65-69,7
2009,Polska,65-69,203
2010,KWP Kraków,65-69,21
2010,KWP Opole,65-69,2
2010,KWP Katowice,65-69,28
2010,KWP Poznań,65-69,10
2010,KSP Warszawa,65-69,10
2010,Polska,65-69,191
2011,KWP Kraków,65-69,17
2011,KWP Opole,65-69,0
2011,KWP Katowice,65-69,16
2011,KWP Poznań,65-69,13
2011,KSP Warszawa,65-69,5
2011,Polska,65-69,138
2012,KWP Kraków,65-69,17
2012,KWP Opole,65-69,2
2012,KWP Katowice,65-69,19
2012,KWP Poznań,65-69,10
2012,KSP Warszawa,65-69,14
2012,Polska,65-69,192
1999,KWP Kraków,70-74,8
1999,KWP Opole,70-74,7
1999,KWP Katowice,70-74,11
1999,KWP Poznań,70-74,22
1999,KSP Warszawa,70-74,3
1999,Polska,70-74,161
2000,KWP Kraków,70-74,18
2000,KWP Opole,70-74,3
2000,KWP Katowice,70-74,12
2000,KWP Poznań,70-74,21
2000,KSP Warszawa,70-74,5
2000,Polska,70-74,172
2001,KWP Kraków,70-74,20
2001,KWP Opole,70-74,3
2001,KWP Katowice,70-74,20
2001,KWP Poznań,70-74,25
2001,KSP Warszawa,70-74,3
2001,Polska,70-74,200
2002,KWP Kraków,70-74,32
2002,KWP Opole,70-74,7
2002,KWP Katowice,70-74,16
2002,KWP Poznań,70-74,13
2002,KSP Warszawa,70-74,2
2002,Polska,70-74,206
2003,KWP Kraków,70-74,12
2003,KWP Opole,70-74,11
2003,KWP Katowice,70-74,14
2003,KWP Poznań,70-74,11
2003,KSP Warszawa,70-74,5
2003,Polska,70-74,160
2004,KWP Kraków,70-74,16
2004,KWP Opole,70-74,6
2004,KWP Katowice,70-74,20
2004,KWP Poznań,70-74,15
2004,KSP Warszawa,70-74,12
2004,Polska,70-74,194
2005,KWP Kraków,70-74,14
2005,KWP Opole,70-74,7
2005,KWP Katowice,70-74,13
2005,KWP Poznań,70-74,13
2005,KSP Warszawa,70-74,11
2005,Polska,70-74,185
2006,KWP Kraków,70-74,11
2006,KWP Opole,70-74,3
2006,KWP Katowice,70-74,29
2006,KWP Poznań,70-74,15
2006,KSP Warszawa,70-74,8
2006,Polska,70-74,157
2007,KWP Kraków,70-74,14
2007,KWP Opole,70-74,4
2007,KWP Katowice,70-74,18
2007,KWP Poznań,70-74,24
2007,KSP Warszawa,70-74,5
2007,Polska,70-74,143
2008,KWP Kraków,70-74,19
2008,KWP Opole,70-74,4
2008,KWP Katowice,70-74,20
2008,KWP Poznań,70-74,7
2008,KSP Warszawa,70-74,6
2008,Polska,70-74,146
2009,KWP Kraków,70-74,9
2009,KWP Opole,70-74,3
2009,KWP Katowice,70-74,16
2009,KWP Poznań,70-74,12
2009,KSP Warszawa,70-74,6
2009,Polska,70-74,141
2010,KWP Kraków,70-74,13
2010,KWP Opole,70-74,6
2010,KWP Katowice,70-74,19
2010,KWP Poznań,70-74,10
2010,KSP Warszawa,70-74,5
2010,Polska,70-74,140
2011,KWP Kraków,70-74,18
2011,KWP Opole,70-74,7
2011,KWP Katowice,70-74,16
2011,KWP Poznań,70-74,6
2011,KSP Warszawa,70-74,4
2011,Polska,70-74,134
2012,KWP Kraków,70-74,13
2012,KWP Opole,70-74,3
2012,KWP Katowice,70-74,18
2012,KWP Poznań,70-74,5
2012,KSP Warszawa,70-74,10
2012,Polska,70-74,126
1999,KWP Kraków,75-79,4
1999,KWP Opole,75-79,1
1999,KWP Katowice,75-79,14
1999,KWP Poznań,75-79,12
1999,KSP Warszawa,75-79,2
1999,Polska,75-79,95
2000,KWP Kraków,75-79,11
2000,KWP Opole,75-79,5
2000,KWP Katowice,75-79,6
2000,KWP Poznań,75-79,20
2000,KSP Warszawa,75-79,1
2000,Polska,75-79,137
2001,KWP Kraków,75-79,12
2001,KWP Opole,75-79,2
2001,KWP Katowice,75-79,1
2001,KWP Poznań,75-79,15
2001,KSP Warszawa,75-79,2
2001,Polska,75-79,115
2002,KWP Kraków,75-79,20
2002,KWP Opole,75-79,2
2002,KWP Katowice,75-79,10
2002,KWP Poznań,75-79,4
2002,KSP Warszawa,75-79,1
2002,Polska,75-79,99
2003,KWP Kraków,75-79,12
2003,KWP Opole,75-79,8
2003,KWP Katowice,75-79,9
2003,KWP Poznań,75-79,12
2003,KSP Warszawa,75-79,4
2003,Polska,75-79,104
2004,KWP Kraków,75-79,12
2004,KWP Opole,75-79,4
2004,KWP Katowice,75-79,17
2004,KWP Poznań,75-79,11
2004,KSP Warszawa,75-79,6
2004,Polska,75-79,119
2005,KWP Kraków,75-79,10
2005,KWP Opole,75-79,3
2005,KWP Katowice,75-79,7
2005,KWP Poznań,75-79,8
2005,KSP Warszawa,75-79,7
2005,Polska,75-79,112
2006,KWP Kraków,75-79,11
2006,KWP Opole,75-79,6
2006,KWP Katowice,75-79,9
2006,KWP Poznań,75-79,10
2006,KSP Warszawa,75-79,9
2006,Polska,75-79,125
2007,KWP Kraków,75-79,12
2007,KWP Opole,75-79,3
2007,KWP Katowice,75-79,10
2007,KWP Poznań,75-79,8
2007,KSP Warszawa,75-79,4
2007,Polska,75-79,103
2008,KWP Kraków,75-79,8
2008,KWP Opole,75-79,2
2008,KWP Katowice,75-79,9
2008,KWP Poznań,75-79,7
2008,KSP Warszawa,75-79,6
2008,Polska,75-79,113
2009,KWP Kraków,75-79,10
2009,KWP Opole,75-79,2
2009,KWP Katowice,75-79,17
2009,KWP Poznań,75-79,9
2009,KSP Warszawa,75-79,10
2009,Polska,75-79,106
2010,KWP Kraków,75-79,13
2010,KWP Opole,75-79,2
2010,KWP Katowice,75-79,12
2010,KWP Poznań,75-79,7
2010,KSP Warszawa,75-79,5
2010,Polska,75-79,105
2011,KWP Kraków,75-79,6
2011,KWP Opole,75-79,0
2011,KWP Katowice,75-79,8
2011,KWP Poznań,75-79,9
2011,KSP Warszawa,75-79,6
2011,Polska,75-79,100
2012,KWP Kraków,75-79,10
2012,KWP Opole,75-79,6
2012,KWP Katowice,75-79,14
2012,KWP Poznań,75-79,11
2012,KSP Warszawa,75-79,8
2012,Polska,75-79,120
1999,KWP Kraków,80-84,3
1999,KWP Opole,80-84,1
1999,KWP Katowice,80-84,6
1999,KWP Poznań,80-84,6
1999,KSP Warszawa,80-84,2
1999,Polska,80-84,56
2000,KWP Kraków,80-84,6
2000,KWP Opole,80-84,1
2000,KWP Katowice,80-84,6
2000,KWP Poznań,80-84,9
2000,KSP Warszawa,80-84,0
2000,Polska,80-84,60
2001,KWP Kraków,80-84,9
2001,KWP Opole,80-84,1
2001,KWP Katowice,80-84,2
2001,KWP Poznań,80-84,6
2001,KSP Warszawa,80-84,2
2001,Polska,80-84,52
2002,KWP Kraków,80-84,8
2002,KWP Opole,80-84,1
2002,KWP Katowice,80-84,5
2002,KWP Poznań,80-84,4
2002,KSP Warszawa,80-84,1
2002,Polska,80-84,54
2003,KWP Kraków,80-84,4
2003,KWP Opole,80-84,1
2003,KWP Katowice,80-84,6
2003,KWP Poznań,80-84,2
2003,KSP Warszawa,80-84,2
2003,Polska,80-84,52
2004,KWP Kraków,80-84,4
2004,KWP Opole,80-84,0
2004,KWP Katowice,80-84,3
2004,KWP Poznań,80-84,6
2004,KSP Warszawa,80-84,7
2004,Polska,80-84,61
2005,KWP Kraków,80-84,7
2005,KWP Opole,80-84,2
2005,KWP Katowice,80-84,7
2005,KWP Poznań,80-84,5
2005,KSP Warszawa,80-84,4
2005,Polska,80-84,70
2006,KWP Kraków,80-84,9
2006,KWP Opole,80-84,0
2006,KWP Katowice,80-84,9
2006,KWP Poznań,80-84,10
2006,KSP Warszawa,80-84,5
2006,Polska,80-84,86
2007,KWP Kraków,80-84,5
2007,KWP Opole,80-84,1
2007,KWP Katowice,80-84,7
2007,KWP Poznań,80-84,8
2007,KSP Warszawa,80-84,1
2007,Polska,80-84,62
2008,KWP Kraków,80-84,6
2008,KWP Opole,80-84,2
2008,KWP Katowice,80-84,2
2008,KWP Poznań,80-84,9
2008,KSP Warszawa,80-84,9
2008,Polska,80-84,86
2009,KWP Kraków,80-84,13
2009,KWP Opole,80-84,3
2009,KWP Katowice,80-84,6
2009,KWP Poznań,80-84,2
2009,KSP Warszawa,80-84,6
2009,Polska,80-84,79
2010,KWP Kraków,80-84,11
2010,KWP Opole,80-84,2
2010,KWP Katowice,80-84,4
2010,KWP Poznań,80-84,2
2010,KSP Warszawa,80-84,7
2010,Polska,80-84,79
2011,KWP Kraków,80-84,9
2011,KWP Opole,80-84,2
2011,KWP Katowice,80-84,8
2011,KWP Poznań,80-84,3
2011,KSP Warszawa,80-84,2
2011,Polska,80-84,66
2012,KWP Kraków,80-84,9
2012,KWP Opole,80-84,2
2012,KWP Katowice,80-84,11
2012,KWP Poznań,80-84,8
2012,KSP Warszawa,80-84,7
2012,Polska,80-84,87
1999,KWP Kraków,85+,2
1999,KWP Opole,85+,3
1999,KWP Katowice,85+,7
1999,KWP Poznań,85+,3
1999,KSP Warszawa,85+,0
1999,Polska,85+,35
2000,KWP Kraków,85+,5
2000,KWP Opole,85+,0
2000,KWP Katowice,85+,4
2000,KWP Poznań,85+,6
2000,KSP Warszawa,85+,5
2000,Polska,85+,54
2001,KWP Kraków,85+,3
2001,KWP Opole,85+,3
2001,KWP Katowice,85+,2
2001,KWP Poznań,85+,3
2001,KSP Warszawa,85+,0
2001,Polska,85+,34
2002,KWP Kraków,85+,7
2002,KWP Opole,85+,2
2002,KWP Katowice,85+,7
2002,KWP Poznań,85+,6
2002,KSP Warszawa,85+,1
2002,Polska,85+,61
2003,KWP Kraków,85+,5
2003,KWP Opole,85+,2
2003,KWP Katowice,85+,2
2003,KWP Poznań,85+,1
2003,KSP Warszawa,85+,4
2003,Polska,85+,46
2004,KWP Kraków,85+,4
2004,KWP Opole,85+,0
2004,KWP Katowice,85+,4
2004,KWP Poznań,85+,5
2004,KSP Warszawa,85+,2
2004,Polska,85+,35
2005,KWP Kraków,85+,2
2005,KWP Opole,85+,0
2005,KWP Katowice,85+,3
2005,KWP Poznań,85+,6
2005,KSP Warszawa,85+,5
2005,Polska,85+,35
2006,KWP Kraków,85+,1
2006,KWP Opole,85+,1
2006,KWP Katowice,85+,1
2006,KWP Poznań,85+,0
2006,KSP Warszawa,85+,3
2006,Polska,85+,35
2007,KWP Kraków,85+,1
2007,KWP Opole,85+,2
2007,KWP Katowice,85+,5
2007,KWP Poznań,85+,5
2007,KSP Warszawa,85+,2
2007,Polska,85+,46
2008,KWP Kraków,85+,3
2008,KWP Opole,85+,3
2008,KWP Katowice,85+,1
2008,KWP Poznań,85+,4
2008,KSP Warszawa,85+,3
2008,Polska,85+,46
2009,KWP Kraków,85+,4
2009,KWP Opole,85+,0
2009,KWP Katowice,85+,5
2009,KWP Poznań,85+,5
2009,KSP Warszawa,85+,3
2009,Polska,85+,57
2010,KWP Kraków,85+,7
2010,KWP Opole,85+,1
2010,KWP Katowice,85+,1
2010,KWP Poznań,85+,4
2010,KSP Warszawa,85+,0
2010,Polska,85+,55
2011,KWP Kraków,85+,0
2011,KWP Opole,85+,1
2011,KWP Katowice,85+,3
2011,KWP Poznań,85+,5
2011,KSP Warszawa,85+,5
2011,Polska,85+,48
2012,KWP Kraków,85+,3
2012,KWP Opole,85+,1
2012,KWP Katowice,85+,11
2012,KWP Poznań,85+,2
2012,KSP Warszawa,85+,5
2012,Polska,85+,73
2013,KWP Katowice,0-6,0
2013,KWP Kraków,0-6,0
2013,KWP Opole,0-6,0
2013,KWP Poznań,0-6,0
2013,KSP Warszawa,0-6,0
2013,Polska,0-6,0
2014,KWP Katowice,0-6,0
2014,KWP Kraków,0-6,0
2014,KWP Opole,0-6,0
2014,KWP Poznań,0-6,0
2014,KSP Warszawa,0-6,0
2014,Polska,0-6,0
2015,KWP Katowice,0-6,0
2015,KWP Kraków,0-6,0
2015,KWP Opole,0-6,0
2015,KWP Poznań,0-6,0
2015,KSP Warszawa,0-6,0
2015,Polska,0-6,0
2016,KWP Katowice,0-6,0
2016,KWP Kraków,0-6,0
2016,KWP Opole,0-6,0
2016,KWP Poznań,0-6,0
2016,KSP Warszawa,0-6,0
2016,Polska,0-6,0
2013,KWP Katowice,7-12,0
2013,KWP Kraków,7-12,0
2013,KWP Opole,7-12,1
2013,KWP Poznań,7-12,2
2013,KSP Warszawa,7-12,1
2013,Polska,7-12,4
2014,KWP Katowice,7-12,0
2014,KWP Kraków,7-12,0
2014,KWP Opole,7-12,0
2014,KWP Poznań,7-12,0
2014,KSP Warszawa,7-12,0
2014,Polska,7-12,3
2015,KWP Katowice,7-12,0
2015,KWP Kraków,7-12,0
2015,KWP Opole,7-12,0
2015,KWP Poznań,7-12,0
2015,KSP Warszawa,7-12,0
2015,Polska,7-12,5
2016,KWP Katowice,7-12,0
2016,KWP Kraków,7-12,0
2016,KWP Opole,7-12,1
2016,KWP Poznań,7-12,0
2016,KSP Warszawa,7-12,0
2016,Polska,7-12,2
2013,KWP Katowice,13-18,18
2013,KWP Kraków,13-18,9
2013,KWP Opole,13-18,6
2013,KWP Poznań,13-18,6
2013,KSP Warszawa,13-18,6
2013,Polska,13-18,144
2014,KWP Katowice,13-18,8
2014,KWP Kraków,13-18,6
2014,KWP Opole,13-18,3
2014,KWP Poznań,13-18,9
2014,KSP Warszawa,13-18,5
2014,Polska,13-18,124
2015,KWP Katowice,13-18,5
2015,KWP Kraków,13-18,6
2015,KWP Opole,13-18,3
2015,KWP Poznań,13-18,6
2015,KSP Warszawa,13-18,10
2015,Polska,13-18,114
2016,KWP Katowice,13-18,5
2016,KWP Kraków,13-18,4
2016,KWP Opole,13-18,3
2016,KWP Poznań,13-18,8
2016,KSP Warszawa,13-18,4
2016,Polska,13-18,101
2013,KWP Katowice,19-24,61
2013,KWP Kraków,19-24,40
2013,KWP Opole,19-24,7
2013,KWP Poznań,19-24,30
2013,KSP Warszawa,19-24,31
2013,Polska,19-24,454
2014,KWP Katowice,19-24,49
2014,KWP Kraków,19-24,43
2014,KWP Opole,19-24,14
2014,KWP Poznań,19-24,39
2014,KSP Warszawa,19-24,47
2014,Polska,19-24,521
2015,KWP Katowice,19-24,45
2015,KWP Kraków,19-24,37
2015,KWP Opole,19-24,9
2015,KWP Poznań,19-24,32
2015,KSP Warszawa,19-24,23
2015,Polska,19-24,436
2016,KWP Katowice,19-24,48
2016,KWP Kraków,19-24,29
2016,KWP Opole,19-24,5
2016,KWP Poznań,19-24,24
2016,KSP Warszawa,19-24,35
2016,Polska,19-24,371
2013,KWP Katowice,25-29,61
2013,KWP Kraków,25-29,23
2013,KWP Opole,25-29,12
2013,KWP Poznań,25-29,24
2013,KSP Warszawa,25-29,36
2013,Polska,25-29,425
2014,KWP Katowice,25-29,54
2014,KWP Kraków,25-29,30
2014,KWP Opole,25-29,7
2014,KWP Poznań,25-29,35
2014,KSP Warszawa,25-29,25
2014,Polska,25-29,439
2015,KWP Katowice,25-29,55
2015,KWP Kraków,25-29,39
2015,KWP Opole,25-29,10
2015,KWP Poznań,25-29,29
2015,KSP Warszawa,25-29,28
2015,Polska,25-29,473
2016,KWP Katowice,25-29,58
2016,KWP Kraków,25-29,28
2016,KWP Opole,25-29,16
2016,KWP Poznań,25-29,28
2016,KSP Warszawa,25-29,32
2016,Polska,25-29,405
2013,KWP Katowice,30-34,44
2013,KWP Kraków,30-34,35
2013,KWP Opole,30-34,12
2013,KWP Poznań,30-34,27
2013,KSP Warszawa,30-34,36
2013,Polska,30-34,451
2014,KWP Katowice,30-34,58
2014,KWP Kraków,30-34,47
2014,KWP Opole,30-34,10
2014,KWP Poznań,30-34,28
2014,KSP Warszawa,30-34,28
2014,Polska,30-34,453
2015,KWP Katowice,30-34,67
2015,KWP Kraków,30-34,31
2015,KWP Opole,30-34,13
2015,KWP Poznań,30-34,26
2015,KSP Warszawa,30-34,45
2015,Polska,30-34,467
2016,KWP Katowice,30-34,55
2016,KWP Kraków,30-34,31
2016,KWP Opole,30-34,8
2016,KWP Poznań,30-34,38
2016,KSP Warszawa,30-34,31
2016,Polska,30-34,468
2013,KWP Katowice,35-39,65
2013,KWP Kraków,35-39,28
2013,KWP Opole,35-39,12
2013,KWP Poznań,35-39,28
2013,KSP Warszawa,35-39,35
2013,Polska,35-39,466
2014,KWP Katowice,35-39,61
2014,KWP Kraków,35-39,35
2014,KWP Opole,35-39,7
2014,KWP Poznań,35-39,42
2014,KSP Warszawa,35-39,40
2014,Polska,35-39,493
2015,KWP Katowice,35-39,63
2015,KWP Kraków,35-39,27
2015,KWP Opole,35-39,15
2015,KWP Poznań,35-39,38
2015,KSP Warszawa,35-39,40
2015,Polska,35-39,497
2016,KWP Katowice,35-39,63
2016,KWP Kraków,35-39,34
2016,KWP Opole,35-39,9
2016,KWP Poznań,35-39,26
2016,KSP Warszawa,35-39,30
2016,Polska,35-39,431
2013,KWP Katowice,40-44,73
2013,KWP Kraków,40-44,24
2013,KWP Opole,40-44,13
2013,KWP Poznań,40-44,36
2013,KSP Warszawa,40-44,36
2013,Polska,40-44,445
2014,KWP Katowice,40-44,55
2014,KWP Kraków,40-44,35
2014,KWP Opole,40-44,7
2014,KWP Poznań,40-44,35
2014,KSP Warszawa,40-44,31
2014,Polska,40-44,494
2015,KWP Katowice,40-44,55
2015,KWP Kraków,40-44,36
2015,KWP Opole,40-44,15
2015,KWP Poznań,40-44,41
2015,KSP Warszawa,40-44,33
2015,Polska,40-44,458
2016,KWP Katowice,40-44,55
2016,KWP Kraków,40-44,30
2016,KWP Opole,40-44,6
2016,KWP Poznań,40-44,35
2016,KSP Warszawa,40-44,39
2016,Polska,40-44,446
2013,KWP Katowice,45-49,69
2013,KWP Kraków,45-49,33
2013,KWP Opole,45-49,14
2013,KWP Poznań,45-49,31
2013,KSP Warszawa,45-49,21
2013,Polska,45-49,452
2014,KWP Katowice,45-49,55
2014,KWP Kraków,45-49,42
2014,KWP Opole,45-49,15
2014,KWP Poznań,45-49,43
2014,KSP Warszawa,45-49,25
2014,Polska,45-49,488
2015,KWP Katowice,45-49,55
2015,KWP Kraków,45-49,40
2015,KWP Opole,45-49,10
2015,KWP Poznań,45-49,24
2015,KSP Warszawa,45-49,22
2015,Polska,45-49,424
2016,KWP Katowice,45-49,38
2016,KWP Kraków,45-49,35
2016,KWP Opole,45-49,10
2016,KWP Poznań,45-49,45
2016,KSP Warszawa,45-49,28
2016,Polska,45-49,438
2013,KWP Katowice,50-54,77
2013,KWP Kraków,50-54,43
2013,KWP Opole,50-54,23
2013,KWP Poznań,50-54,38
2013,KSP Warszawa,50-54,31
2013,Polska,50-54,616
2014,KWP Katowice,50-54,67
2014,KWP Kraków,50-54,56
2014,KWP Opole,50-54,14
2014,KWP Poznań,50-54,50
2014,KSP Warszawa,50-54,42
2014,Polska,50-54,615
2015,KWP Katowice,50-54,65
2015,KWP Kraków,50-54,52
2015,KWP Opole,50-54,12
2015,KWP Poznań,50-54,46
2015,KSP Warszawa,50-54,30
2015,Polska,50-54,567
2016,KWP Katowice,50-54,50
2016,KWP Kraków,50-54,50
2016,KWP Opole,50-54,13
2016,KWP Poznań,50-54,35
2016,KSP Warszawa,50-54,29
2016,Polska,50-54,497
2013,KWP Katowice,55-59,88
2013,KWP Kraków,55-59,55
2013,KWP Opole,55-59,17
2013,KWP Poznań,55-59,56
2013,KSP Warszawa,55-59,59
2013,Polska,55-59,764
2014,KWP Katowice,55-59,81
2014,KWP Kraków,55-59,68
2014,KWP Opole,55-59,17
2014,KWP Poznań,55-59,46
2014,KSP Warszawa,55-59,50
2014,Polska,55-59,717
2015,KWP Katowice,55-59,67
2015,KWP Kraków,55-59,41
2015,KWP Opole,55-59,21
2015,KWP Poznań,55-59,59
2015,KSP Warszawa,55-59,47
2015,Polska,55-59,666
2016,KWP Katowice,55-59,67
2016,KWP Kraków,55-59,52
2016,KWP Opole,55-59,19
2016,KWP Poznań,55-59,52
2016,KSP Warszawa,55-59,41
2016,Polska,55-59,633
2013,KWP Katowice,60-64,74
2013,KWP Kraków,60-64,43
2013,KWP Opole,60-64,17
2013,KWP Poznań,60-64,31
2013,KSP Warszawa,60-64,34
2013,Polska,60-64,540
2014,KWP Katowice,60-64,67
2014,KWP Kraków,60-64,47
2014,KWP Opole,60-64,15
2014,KWP Poznań,60-64,54
2014,KSP Warszawa,60-64,42
2014,Polska,60-64,585
2015,KWP Katowice,60-64,66
2015,KWP Kraków,60-64,46
2015,KWP Opole,60-64,11
2015,KWP Poznań,60-64,50
2015,KSP Warszawa,60-64,32
2015,Polska,60-64,593
2016,KWP Katowice,60-64,74
2016,KWP Kraków,60-64,41
2016,KWP Opole,60-64,10
