Year,Garnizon,Age,Suicides
2003,KWP Katowice,13-18,19
2003,KWP Poznań,13-18,17
2003,KSP Warszawa,13-18,4
2003,Polska,13-18,180
2004,KWP Kraków,13-18,17
2004,KWP Opole,13-18,9
2004,KWP Katowice,13-18,18
2004,KWP Poznań,13-18,12
2004,KSP Warszawa,13-18,8
2004,Polska,13-18,208
2005,KWP Kraków,13-18,19
2005,KWP Opole,13-18,2
2005,KWP Katowice,13-18,18
2005,KWP Poznań,13-18,12
2005,KSP Warszawa,13-18,3
2005,Polska,13-18,167
2006,KWP Kraków,13-18,14
2006,KWP Opole,13-18,2
2006,KWP Katowice,13-18,14
2006,KWP Poznań,13-18,11
2006,KSP Warszawa,13-18,7
2006,Polska,13-18,156
2007,KWP Kraków,13-18,7
2007,KWP Opole,13-18,2
2007,KWP Katowice,13-18,16
2007,KWP Poznań,13-18,12
2007,KSP Warszawa,13-18,4
2007,Polska,13-18,153
2008,KWP Kraków,13-18,14
2008,KWP Opole,13-18,7
2008,KWP Katowice,13-18,10
2008,KWP Poznań,13-18,10
2008,KSP Warszawa,13-18,1
2008,Polska,13-18,166
2009,KWP Kraków,13-18,7
2009,KWP Opole,13-18,4
2009,KWP Katowice,13-18,17
2009,KWP Poznań,13-18,16
2009,KSP Warszawa,13-18,9
2009,Polska,13-18,152
2010,KWP Kraków,13-18,8
2010,KWP Opole,13-18,4
2010,KWP Katowice,13-18,7
2010,KWP Poznań,13-18,7
2010,KSP Warszawa,13-18,3
2010,Polska,13-18,119
2011,KWP Kraków,13-18,7
2011,KWP Opole,13-18,3
2011,KWP Katowice,13-18,12
2011,KWP Poznań,13-18,6
2011,KSP Warszawa,13-18,3
2011,Polska,13-18,111
2012,KWP Kraków,13-18,5
2012,KWP Opole,13-18,1
2012,KWP Katowice,13-18,15
2012,KWP Poznań,13-18,7
2012,KSP Warszawa,13-18,10
2012,Polska,13-18,138
1999,KWP Kraków,19-24,35
1999,KWP Opole,19-24,9
1999,KWP Katowice,19-24,40
1999,KWP Poznań,19-24,44
1999,KSP Warszawa,19-24,13
1999,Polska,19-24,429
2000,KWP Kraków,19-24,37
2000,KWP Opole,19-24,21
2000,KWP Katowice,19-24,57
2000,KWP Poznań,19-24,37
2000,KSP Warszawa,19-24,9
2000,Polska,19-24,459
2001,KWP Kraków,19-24,36
2001,KWP Opole,19-24,13
2001,KWP Katowice,19-24,40
2001,KWP Poznań,19-24,38
2001,KSP Warszawa,19-24,6
2001,Polska,19-24,431
2002,KWP Kraków,19-24,50
2002,KWP Opole,19-24,11
2002,KWP Katowice,19-24,45
2002,KWP Poznań,19-24,46
2002,KSP Warszawa,19-24,12
2002,Polska,19-24,469
2003,KWP Kraków,19-24,25
2003,KWP Opole,19-24,13
2003,KWP Katowice,19-24,56
2003,KWP Poznań,19-24,34
2003,KSP Warszawa,19-24,16
2003,Polska,19-24,422
2004,KWP Kraków,19-24,37
2004,KWP Opole,19-24,10
2004,KWP Katowice,19-24,45
2004,KWP Poznań,19-24,47
2004,KSP Warszawa,19-24,24
2004,Polska,19-24,487
2005,KWP Kraków,19-24,30
2005,KWP Opole,19-24,15
2005,KWP Katowice,19-24,44
2005,KWP Poznań,19-24,43
2005,KSP Warszawa,19-24,19
2005,Polska,19-24,410
2006,KWP Kraków,19-24,25
2006,KWP Opole,19-24,13
2006,KWP Katowice,19-24,47
2006,KWP Poznań,19-24,28
2006,KSP Warszawa,19-24,19
2006,Polska,19-24,378
2007,KWP Kraków,19-24,24
2007,KWP Opole,19-24,12
2007,KWP Katowice,19-24,31
2007,KWP Poznań,19-24,23
2007,KSP Warszawa,19-24,19
2007,Polska,19-24,345
2008,KWP Kraków,19-24,22
2008,KWP Opole,19-24,9
2008,KWP Katowice,19-24,32
2008,KWP Poznań,19-24,18
2008,KSP Warszawa,19-24,14
2008,Polska,19-24,325
2009,KWP Kraków,19-24,21
2009,KWP Opole,19-24,8
2009,KWP Katowice,19-24,31
