,Year,Garnizon,Suicides
198,2012,KWP Opole,148
199,2012,KWP Poznań,294
200,2012,KWP Radom,350
201,2012,KWP Rzeszów,233
202,2012,KWP Szczecin,229
203,2012,KWP Wrocław,262
204,2013,KSP Warszawa,510
205,2013,KWP Białystok,283
206,2013,KWP Bydgoszcz,303
207,2013,KWP Gdańsk,399
208,2013,KWP Gorzów Wlkp.,265
209,2013,KWP Katowice,1149
210,2013,KWP Kielce,725
211,2013,KWP Kraków,752
212,2013,KWP Łódź,699
213,2013,KWP Lublin,474
214,2013,KWP Olsztyn,461
215,2013,KWP Opole,218
216,2013,KWP Poznań,504
217,2013,KWP Radom,527
218,2013,KWP Rzeszów,327
219,2013,KWP Szczecin,416
220,2013,KWP Wrocław,563
221,2014,KSP Warszawa,539
222,2014,KWP Białystok,358
223,2014,KWP Bydgoszcz,326
224,2014,KWP Gdańsk,449
225,2014,KWP Gorzów Wlkp.,241
226,2014,KWP Katowice,1407
227,2014,KWP Kielce,839
228,2014,KWP Kraków,1004
229,2014,KWP Łódź,893
230,2014,KWP Lublin,532
231,2014,KWP Olsztyn,627
232,2014,KWP Opole,228
233,2014,KWP Poznań,601
234,2014,KWP Radom,598
235,2014,KWP Rzeszów,425
236,2014,KWP Szczecin,457
237,2014,KWP Wrocław,683
238,2015,KSP Warszawa,484
239,2015,KWP Białystok,310
240,2015,KWP Bydgoszcz,344
241,2015,KWP Gdańsk,470
242,2015,KWP Gorzów Wlkp.,278
243,2015,KWP Katowice,1511
244,2015,KWP Kielce,793
245,2015,KWP Kraków,898
246,2015,KWP Łódź,906
247,2015,KWP Lublin,502
248,2015,KWP Olsztyn,589
249,2015,KWP Opole,235
250,2015,KWP Poznań,574
251,2015,KWP Radom,559
252,2015,KWP Rzeszów,466
253,2015,KWP Szczecin,435
254,2015,KWP Wrocław,619
255,2016,KSP Warszawa,475
256,2016,KWP Białystok,389
257,2016,KWP Bydgoszcz,351
258,2016,KWP Gdańsk,461
259,2016,KWP Gorzów Wlkp.,284
260,2016,KWP Katowice,1436
261,2016,KWP Kielce,670
262,2016,KWP Kraków,1029
263,2016,KWP Łódź,1003
264,2016,KWP Lublin,465
265,2016,KWP Olsztyn,483
266,2016,KWP Opole,244
267,2016,KWP Poznań,549
268,2016,KWP Radom,558
269,2016,KWP Rzeszów,441
270,2016,KWP Szczecin,415
271,2016,KWP Wrocław,608
272,2017,KSP Warszawa,461
273,2017,KWP Białystok,348
274,2017,KWP Bydgoszcz,385
275,2017,KWP Gdańsk,587
276,2017,KWP Gorzów Wlkp.,288
277,2017,KWP Katowice,1667
278,2017,KWP Kielce,610
279,2017,KWP Kraków,1023
280,2017,KWP Łódź,1267
281,2017,KWP Lublin,557
282,2017,KWP Olsztyn,563
283,2017,KWP Opole,234
284,2017,KWP Poznań,678
285,2017,KWP Radom,643
286,2017,KWP Rzeszów,580
287,2017,KWP Szczecin,466
288,2017,KWP Wrocław,782
289,2018,KSP Warszawa,497
290,2018,KWP Białystok,346
291,2018,KWP Bydgoszcz,413
292,2018,KWP Gdańsk,569
293,2018,KWP Gorzów Wlkp.,294
294,2018,KWP Katowice,1686
295,2018,KWP Kielce,517
296,2018,KWP Kraków,1033
297,2018,KWP Łódź,1240
298,2018,KWP Lublin,612
299,2018,KWP Olsztyn,546
300,2018,KWP Opole,210
301,2018,KWP Poznań,706
302,2018,KWP Radom,626
303,2018,KWP Rzeszów,592
304,2018,KWP Szczecin,421
305,2018,KWP Wrocław,859
306,2019,KSP Warszawa,517
307,2019,KWP Białystok,461
308,2019,KWP Bydgoszcz,401
309,2019,KWP Gdańsk,675
310,2019,KWP Gorzów Wlkp.,369
311,2019,KWP Katowice,1620
312,2019,KWP Kielce,512
313,2019,KWP Kraków,1075
314,2019,KWP Łódź,1252
315,2019,KWP Lublin,667
316,2019,KWP Olsztyn,611
317,2019,KWP Opole,215
318,2019,KWP Poznań,747
319,2019,KWP Radom,672
320,2019,KWP Rzeszów,545
321,2019,KWP Szczecin,526
322,2019,KWP Wrocław,1096
323,2020,KSP Warszawa,548
324,2020,KWP Białystok,498
325,2020,KWP Bydgoszcz,396
326,2020,KWP Gdańsk,724
327,2020,KWP Gorzów Wlkp.,315
328,2020,KWP Katowice,1709
329,2020,KWP Kielce,533
330,2020,KWP Kraków,1148
331,2020,KWP Łódź,1263
332,2020,KWP Lublin,626
333,2020,KWP Olsztyn,566
334,2020,KWP Opole,194
335,2020,KWP Poznań,746
336,2020,KWP Radom,654
337,2020,KWP Rzeszów,580
338,2020,KWP Szczecin,529
339,2020,KWP Wrocław,984
