Year,Garnizon,Total,Age,Suicides,Result
2006,KWP Lublin,345,0-6,0,Attempted
2006,KWP Gorzów Wielk.,223,0-6,0,Attempted
2006,KWP Łódź,389,0-6,0,Attempted
2006,KWP Kraków,386,0-6,0,Attempted
2006,KWP Radom,312,0-6,0,Attempted
2006,KWP Opole,181,0-6,0,Attempted
2006,KWP Rzeszów,265,0-6,0,Attempted
2006,KWP Białystok,184,0-6,0,Attempted
2006,KWP Gdańsk,347,0-6,0,Attempted
2006,KWP Katowice,626,0-6,0,Attempted
2006,KWP Kielce,187,0-6,0,Attempted
2006,KWP Olsztyn,295,0-6,1,Attempted
2006,KWP Poznań,415,0-6,0,Attempted
2006,KWP Szczecin,234,0-6,0,Attempted
2006,KSP Warszawa,192,0-6,0,Attempted
2006,Polska,5152,0-6,1,Attempted
2007,KWP Wrocław,282,0-6,0,Attempted
2007,KWP Bydgoszcz,251,0-6,0,Attempted
2007,KWP Lublin,295,0-6,0,Attempted
2007,KWP Gorzów Wielk.,190,0-6,0,Attempted
2007,KWP Łódź,390,0-6,0,Attempted
2007,KWP Kraków,337,0-6,0,Attempted
2007,KWP Radom,301,0-6,0,Attempted
2007,KWP Opole,148,0-6,0,Attempted
2007,KWP Rzeszów,198,0-6,0,Attempted
2007,KWP Białystok,215,0-6,0,Attempted
2007,KWP Gdańsk,267,0-6,0,Attempted
2007,KWP Katowice,514,0-6,0,Attempted
2007,KWP Kielce,139,0-6,0,Attempted
2007,KWP Olsztyn,306,0-6,0,Attempted
2007,KWP Poznań,428,0-6,0,Attempted
2007,KWP Szczecin,221,0-6,0,Attempted
2007,KSP Warszawa,176,0-6,0,Attempted
2007,Polska,4658,0-6,0,Attempted
2008,KWP Wrocław,311,0-6,0,Attempted
2008,KWP Bydgoszcz,323,0-6,0,Attempted
2008,KWP Lublin,398,0-6,0,Attempted
2008,KWP Gorzów Wielk.,201,0-6,0,Attempted
2008,KWP Łódź,379,0-6,0,Attempted
2008,KWP Kraków,369,0-6,0,Attempted
2008,KWP Radom,487,0-6,0,Attempted
2008,KWP Opole,157,0-6,0,Attempted
2008,KWP Rzeszów,239,0-6,0,Attempted
2008,KWP Białystok,247,0-6,0,Attempted
2008,KWP Gdańsk,287,0-6,0,Attempted
2008,KWP Katowice,536,0-6,0,Attempted
2008,KWP Kielce,135,0-6,0,Attempted
2008,KWP Olsztyn,361,0-6,0,Attempted
2008,KWP Poznań,367,0-6,0,Attempted
2008,KWP Szczecin,226,0-6,0,Attempted
2008,KSP Warszawa,214,0-6,0,Attempted
2008,Polska,5237,0-6,0,Attempted
2009,KWP Wrocław,295,0-6,0,Attempted
2009,KWP Bydgoszcz,333,0-6,0,Attempted
2009,KWP Lublin,390,0-6,0,Attempted
2009,KWP Gorzów Wielk.,285,0-6,0,Attempted
2009,KWP Łódź,471,0-6,0,Attempted
2009,KWP Kraków,463,0-6,0,Attempted
2009,KWP Radom,452,0-6,0,Attempted
2009,KWP Opole,185,0-6,0,Attempted
2009,KWP Rzeszów,242,0-6,0,Attempted
2009,KWP Białystok,251,0-6,0,Attempted
2009,KWP Gdańsk,341,0-6,0,Attempted
2009,KWP Katowice,712,0-6,0,Attempted
2009,KWP Kielce,155,0-6,0,Attempted
2009,KWP Olsztyn,395,0-6,0,Attempted
2009,KWP Poznań,451,0-6,0,Attempted
2009,KWP Szczecin,238,0-6,0,Attempted
2009,KSP Warszawa,254,0-6,0,Attempted
2009,Polska,5913,0-6,0,Attempted
2010,KWP Wrocław,266,0-6,0,Attempted
2010,KWP Bydgoszcz,291,0-6,0,Attempted
2010,KWP Lublin,359,0-6,0,Attempted
2010,KWP Gorzów Wielk.,183,0-6,0,Attempted
2010,KWP Łódź,440,0-6,0,Attempted
2010,KWP Kraków,467,0-6,0,Attempted
2010,KWP Radom,416,0-6,0,Attempted
2010,KWP Opole,186,0-6,0,Attempted
2010,KWP Rzeszów,252,0-6,0,Attempted
2010,KWP Białystok,234,0-6,0,Attempted
2010,KWP Gdańsk,268,0-6,0,Attempted
2010,KWP Katowice,698,0-6,0,Attempted
2010,KWP Kielce,208,0-6,0,Attempted
2010,KWP Olsztyn,373,0-6,0,Attempted
2010,KWP Poznań,374,0-6,0,Attempted
2010,KWP Szczecin,206,0-6,0,Attempted
2010,KSP Warszawa,235,0-6,0,Attempted
2010,Polska,5456,0-6,0,Attempted
2011,KWP Wrocław,241,0-6,0,Attempted
2011,KWP Bydgoszcz,330,0-6,0,Attempted
2011,KWP Lublin,313,0-6,0,Attempted
2011,KWP Gorzów Wielk.,214,0-6,0,Attempted
2011,KWP Łódź,436,0-6,0,Attempted
2011,KWP Kraków,439,0-6,0,Attempted
2011,KWP Radom,356,0-6,0,Attempted
2011,KWP Opole,141,0-6,0,Attempted
2011,KWP Rzeszów,197,0-6,0,Attempted
2011,KWP Białystok,220,0-6,0,Attempted
2011,KWP Gdańsk,260,0-6,0,Attempted
2011,KWP Katowice,695,0-6,0,Attempted
2011,KWP Kielce,172,0-6,0,Attempted
2011,KWP Olsztyn,336,0-6,0,Attempted
2011,KWP Poznań,326,0-6,0,Attempted
2011,KWP Szczecin,245,0-6,0,Attempted
2011,KSP Warszawa,203,0-6,0,Attempted
2011,Polska,5124,0-6,0,Attempted
2012,KWP Wrocław,262,0-6,0,Attempted
2012,KWP Bydgoszcz,348,0-6,0,Attempted
2012,KWP Lublin,302,0-6,0,Attempted
2012,KWP Gorzów Wielk.,248,0-6,0,Attempted
2012,KWP Łódź,511,0-6,0,Attempted
2012,KWP Kraków,468,0-6,0,Attempted
2012,KWP Radom,350,0-6,0,Attempted
2012,KWP Opole,148,0-6,0,Attempted
2012,KWP Rzeszów,233,0-6,0,Attempted
2012,KWP Białystok,232,0-6,0,Attempted
2012,KWP Gdańsk,247,0-6,0,Attempted
2012,KWP Katowice,612,0-6,0,Attempted
2012,KWP Kielce,576,0-6,0,Attempted
2012,KWP Olsztyn,346,0-6,0,Attempted
2012,KWP Poznań,294,0-6,0,Attempted
2012,KWP Szczecin,229,0-6,0,Attempted
2012,KSP Warszawa,385,0-6,0,Attempted
2012,Polska,5791,0-6,0,Attempted
1999,KWP Wrocław,378,7-12,0,Attempted
1999,KWP Bydgoszcz,263,7-12,0,Attempted
1999,KWP Lublin,283,7-12,1,Attempted
1999,KWP Gorzów Wielk.,194,7-12,0,Attempted
1999,KWP Łódź,410,7-12,3,Attempted
1999,KWP Kraków,302,7-12,0,Attempted
1999,KWP Radom,403,7-12,1,Attempted
1999,KWP Opole,189,7-12,1,Attempted
1999,KWP Rzeszów,205,7-12,1,Attempted
1999,KWP Białystok,216,7-12,0,Attempted
1999,KWP Gdańsk,325,7-12,2,Attempted
1999,KWP Katowice,543,7-12,2,Attempted
1999,KWP Kielce,199,7-12,1,Attempted
1999,KWP Olsztyn,201,7-12,0,Attempted
1999,KWP Poznań,644,7-12,2,Attempted
1999,KWP Szczecin,313,7-12,0,Attempted
1999,KSP Warszawa,114,7-12,0,Attempted
1999,Polska,5182,7-12,14,Attempted
2000,KWP Wrocław,431,7-12,1,Attempted
2000,KWP Bydgoszcz,262,7-12,0,Attempted
2000,KWP Lublin,288,7-12,2,Attempted
2000,KWP Gorzów Wielk.,178,7-12,1,Attempted
2000,KWP Łódź,402,7-12,2,Attempted
2000,KWP Kraków,545,7-12,1,Attempted
2000,KWP Radom,439,7-12,2,Attempted
2000,KWP Opole,176,7-12,0,Attempted
2000,KWP Rzeszów,348,7-12,1,Attempted
2000,KWP Białystok,242,7-12,3,Attempted
2000,KWP Gdańsk,337,7-12,1,Attempted
2000,KWP Katowice,574,7-12,0,Attempted
2000,KWP Kielce,197,7-12,0,Attempted
2000,KWP Olsztyn,149,7-12,0,Attempted
2000,KWP Poznań,644,7-12,3,Attempted
2000,KWP Szczecin,305,7-12,0,Attempted
2000,KSP Warszawa,104,7-12,1,Attempted
2000,Polska,5621,7-12,18,Attempted
2001,KWP Wrocław,372,7-12,1,Attempted
2001,KWP Bydgoszcz,268,7-12,2,Attempted
2001,KWP Lublin,313,7-12,1,Attempted
2001,KWP Gorzów Wielk.,246,7-12,1,Attempted
2001,KWP Łódź,380,7-12,1,Attempted
2001,KWP Kraków,591,7-12,2,Attempted
2001,KWP Radom,464,7-12,2,Attempted
2001,KWP Opole,152,7-12,0,Attempted
2001,KWP Rzeszów,316,7-12,4,Attempted
2001,KWP Białystok,221,7-12,2,Attempted
2001,KWP Gdańsk,364,7-12,1,Attempted
2001,KWP Katowice,558,7-12,0,Attempted
2001,KWP Kielce,192,7-12,0,Attempted
2001,KWP Olsztyn,240,7-12,1,Attempted
2001,KWP Poznań,641,7-12,0,Attempted
2001,KWP Szczecin,301,7-12,1,Attempted
2001,KSP Warszawa,93,7-12,0,Attempted
2001,Polska,5712,7-12,19,Attempted
2002,KWP Wrocław,372,7-12,0,Attempted
2002,KWP Bydgoszcz,233,7-12,0,Attempted
2002,KWP Lublin,329,7-12,0,Attempted
2002,KWP Gorzów Wielk.,243,7-12,0,Attempted
2002,KWP Łódź,385,7-12,2,Attempted
2002,KWP Kraków,640,7-12,0,Attempted
2002,KWP Radom,393,7-12,1,Attempted
2002,KWP Opole,157,7-12,0,Attempted
2002,KWP Rzeszów,370,7-12,1,Attempted
2002,KWP Białystok,242,7-12,1,Attempted
2002,KWP Gdańsk,391,7-12,0,Attempted
2002,KWP Katowice,643,7-12,0,Attempted
2002,KWP Kielce,206,7-12,1,Attempted
2002,KWP Olsztyn,267,7-12,1,Attempted
2002,KWP Poznań,617,7-12,2,Attempted
2002,KWP Szczecin,311,7-12,1,Attempted
2002,KSP Warszawa,129,7-12,0,Attempted
2002,Polska,5928,7-12,10,Attempted
2003,KWP Wrocław,420,7-12,2,Attempted
2003,KWP Bydgoszcz,199,7-12,0,Attempted
2003,KWP Lublin,399,7-12,3,Attempted
2003,KWP Gorzów Wielk.,180,7-12,0,Attempted
2003,KWP Łódź,335,7-12,0,Attempted
2003,KWP Kraków,481,7-12,1,Attempted
2003,KWP Radom,336,7-12,1,Attempted
2003,KWP Opole,159,7-12,0,Attempted
2003,KWP Rzeszów,258,7-12,1,Attempted
2003,KWP Białystok,259,7-12,0,Attempted
2003,KWP Gdańsk,321,7-12,0,Attempted
2003,KWP Katowice,667,7-12,2,Attempted
2003,KWP Kielce,185,7-12,0,Attempted
2003,KWP Olsztyn,235,7-12,1,Attempted
2003,KWP Poznań,511,7-12,0,Attempted
2003,KWP Szczecin,331,7-12,1,Attempted
2003,KSP Warszawa,191,7-12,1,Attempted
2003,Polska,5467,7-12,13,Attempted
2004,KWP Wrocław,450,7-12,2,Attempted
2004,KWP Bydgoszcz,361,7-12,0,Attempted
2004,KWP Lublin,415,7-12,0,Attempted
2004,KWP Gorzów Wielk.,211,7-12,1,Attempted
2004,KWP Łódź,382,7-12,0,Attempted
2004,KWP Kraków,510,7-12,1,Attempted
2004,KWP Radom,336,7-12,2,Attempted
2004,KWP Opole,182,7-12,0,Attempted
2004,KWP Rzeszów,261,7-12,0,Attempted
2004,KWP Białystok,229,7-12,1,Attempted
2004,KWP Gdańsk,301,7-12,1,Attempted
2004,KWP Katowice,644,7-12,3,Attempted
2004,KWP Kielce,237,7-12,0,Attempted
2004,KWP Olsztyn,282,7-12,0,Attempted
2004,KWP Poznań,512,7-12,1,Attempted
2004,KWP Szczecin,288,7-12,0,Attempted
2004,KSP Warszawa,292,7-12,0,Attempted
2004,Polska,5893,7-12,12,Attempted
2005,KWP Wrocław,338,7-12,0,Attempted
2005,KWP Bydgoszcz,327,7-12,1,Attempted
2005,KWP Lublin,383,7-12,1,Attempted
2005,KWP Gorzów Wielk.,191,7-12,0,Attempted
2005,KWP Łódź,378,7-12,1,Attempted
2005,KWP Kraków,471,7-12,2,Attempted
2005,KWP Radom,364,7-12,0,Attempted
2005,KWP Opole,163,7-12,1,Attempted
2005,KWP Rzeszów,270,7-12,2,Attempted
2005,KWP Białystok,223,7-12,0,Attempted
2005,KWP Gdańsk,339,7-12,0,Attempted
2005,KWP Katowice,664,7-12,2,Attempted
2005,KWP Kielce,174,7-12,0,Attempted
2005,KWP Olsztyn,308,7-12,1,Attempted
2005,KWP Poznań,496,7-12,2,Attempted
2005,KWP Szczecin,272,7-12,0,Attempted
2005,KSP Warszawa,264,7-12,1,Attempted
2005,Polska,5625,7-12,14,Attempted
2006,KWP Wrocław,320,7-12,0,Attempted
2006,KWP Bydgoszcz,251,7-12,0,Attempted
2006,KWP Lublin,345,7-12,0,Attempted
2006,KWP Gorzów Wielk.,223,7-12,0,Attempted
2006,KWP Łódź,389,7-12,0,Attempted
2006,KWP Kraków,386,7-12,0,Attempted
2006,KWP Radom,312,7-12,1,Attempted
2006,KWP Opole,181,7-12,2,Attempted
2006,KWP Rzeszów,265,7-12,0,Attempted
2006,KWP Białystok,184,7-12,1,Attempted
2006,KWP Gdańsk,347,7-12,1,Attempted
2006,KWP Katowice,626,7-12,1,Attempted
2006,KWP Kielce,187,7-12,0,Attempted
2006,KWP Olsztyn,295,7-12,0,Attempted
2006,KWP Poznań,415,7-12,2,Attempted
2006,KWP Szczecin,234,7-12,1,Attempted
2006,KSP Warszawa,192,7-12,0,Attempted
2006,Polska,5152,7-12,9,Attempted
2007,KWP Wrocław,282,7-12,0,Attempted
2007,KWP Bydgoszcz,251,7-12,1,Attempted
2007,KWP Lublin,295,7-12,0,Attempted
2007,KWP Gorzów Wielk.,190,7-12,2,Attempted
2007,KWP Łódź,390,7-12,2,Attempted
2007,KWP Kraków,337,7-12,1,Attempted
2007,KWP Radom,301,7-12,0,Attempted
2007,KWP Opole,148,7-12,1,Attempted
2007,KWP Rzeszów,198,7-12,1,Attempted
2007,KWP Białystok,215,7-12,1,Attempted
2007,KWP Gdańsk,267,7-12,1,Attempted
2007,KWP Katowice,514,7-12,1,Attempted
2007,KWP Kielce,139,7-12,0,Attempted
2007,KWP Olsztyn,306,7-12,3,Attempted
2007,KWP Poznań,428,7-12,1,Attempted
2007,KWP Szczecin,221,7-12,0,Attempted
2007,KSP Warszawa,176,7-12,0,Attempted
2007,Polska,4658,7-12,15,Attempted
