year,garnizon,place,suicides,outcome
1999,Wrocław,apartment,161,Attempted
1999,Wrocław,garage/basement/attic,51,Attempted
1999,Wrocław,farm building,39,Attempted
1999,Wrocław,railway,10,Attempted
1999,Wrocław,street,6,Attempted
1999,Wrocław,park/forest,46,Attempted
1999,Wrocław,river/lake,5,Attempted
1999,Wrocław,medical facility,5,Attempted
1999,Wrocław,legal_isolation,2,Attempted
1999,Wrocław,military area,0,Attempted
1999,Wrocław,workplace,3,Attempted
1999,Bydgoszcz,apartment,109,Attempted
1999,Bydgoszcz,garage/basement/attic,38,Attempted
1999,Bydgoszcz,farm building,48,Attempted
1999,Bydgoszcz,railway,6,Attempted
1999,Bydgoszcz,street,2,Attempted
1999,Bydgoszcz,park/forest,25,Attempted
1999,Bydgoszcz,river/lake,3,Attempted
1999,Bydgoszcz,medical facility,1,Attempted
1999,Bydgoszcz,legal_isolation,0,Attempted
1999,Bydgoszcz,military area,0,Attempted
1999,Bydgoszcz,workplace,2,Attempted
1999,Lublin,apartment,89,Attempted
1999,Lublin,garage/basement/attic,25,Attempted
1999,Lublin,farm building,84,Attempted
1999,Lublin,railway,4,Attempted
1999,Lublin,street,2,Attempted
1999,Lublin,park/forest,24,Attempted
1999,Lublin,river/lake,8,Attempted
1999,Lublin,medical facility,1,Attempted
1999,Lublin,legal_isolation,0,Attempted
1999,Lublin,military area,0,Attempted
1999,Lublin,workplace,0,Attempted
1999,Gorzów Wlkp.,apartment,66,Attempted
1999,Gorzów Wlkp.,garage/basement/attic,29,Attempted
1999,Gorzów Wlkp.,farm building,26,Attempted
1999,Gorzów Wlkp.,railway,3,Attempted
1999,Gorzów Wlkp.,street,2,Attempted
1999,Gorzów Wlkp.,park/forest,31,Attempted
1999,Gorzów Wlkp.,river/lake,6,Attempted
1999,Gorzów Wlkp.,medical facility,3,Attempted
1999,Gorzów Wlkp.,legal_isolation,2,Attempted
1999,Gorzów Wlkp.,military area,0,Attempted
1999,Gorzów Wlkp.,workplace,2,Attempted
1999,Łódź,apartment,167,Attempted
1999,Łódź,garage/basement/attic,43,Attempted
1999,Łódź,farm building,92,Attempted
1999,Łódź,railway,7,Attempted
1999,Łódź,street,1,Attempted
1999,Łódź,park/forest,39,Attempted
1999,Łódź,river/lake,3,Attempted
1999,Łódź,medical facility,3,Attempted
1999,Łódź,legal_isolation,3,Attempted
1999,Łódź,military area,0,Attempted
1999,Łódź,workplace,5,Attempted
1999,Kraków,apartment,80,Attempted
1999,Kraków,garage/basement/attic,46,Attempted
1999,Kraków,farm building,73,Attempted
1999,Kraków,railway,7,Attempted
1999,Kraków,street,1,Attempted
1999,Kraków,park/forest,38,Attempted
1999,Kraków,river/lake,8,Attempted
1999,Kraków,medical facility,3,Attempted
1999,Kraków,legal_isolation,1,Attempted
1999,Kraków,military area,0,Attempted
1999,Kraków,workplace,2,Attempted
1999,Radom,apartment,123,Attempted
1999,Radom,garage/basement/attic,50,Attempted
1999,Radom,farm building,115,Attempted
1999,Radom,railway,3,Attempted
1999,Radom,street,4,Attempted
1999,Radom,park/forest,39,Attempted
1999,Radom,river/lake,10,Attempted
1999,Radom,medical facility,6,Attempted
1999,Radom,legal_isolation,1,Attempted
1999,Radom,military area,0,Attempted
1999,Radom,workplace,3,Attempted
1999,Opole,apartment,79,Attempted
1999,Opole,garage/basement/attic,29,Attempted
1999,Opole,farm building,32,Attempted
1999,Opole,railway,7,Attempted
1999,Opole,street,1,Attempted
1999,Opole,park/forest,13,Attempted
1999,Opole,river/lake,1,Attempted
1999,Opole,medical facility,2,Attempted
1999,Opole,legal_isolation,0,Attempted
1999,Opole,military area,0,Attempted
1999,Opole,workplace,2,Attempted
1999,Rzeszów,apartment,45,Attempted
1999,Rzeszów,garage/basement/attic,36,Attempted
1999,Rzeszów,farm building,51,Attempted
1999,Rzeszów,railway,9,Attempted
1999,Rzeszów,street,1,Attempted
1999,Rzeszów,park/forest,16,Attempted
1999,Rzeszów,river/lake,5,Attempted
1999,Rzeszów,medical facility,5,Attempted
1999,Rzeszów,legal_isolation,1,Attempted
1999,Rzeszów,military area,1,Attempted
1999,Rzeszów,workplace,6,Attempted
1999,Białystok,apartment,86,Attempted
1999,Białystok,garage/basement/attic,21,Attempted
1999,Białystok,farm building,44,Attempted
1999,Białystok,railway,7,Attempted
1999,Białystok,street,0,Attempted
1999,Białystok,park/forest,21,Attempted
1999,Białystok,river/lake,3,Attempted
1999,Białystok,medical facility,6,Attempted
1999,Białystok,legal_isolation,0,Attempted
1999,Białystok,military area,0,Attempted
1999,Białystok,workplace,1,Attempted
1999,Gdańsk,apartment,128,Attempted
1999,Gdańsk,garage/basement/attic,38,Attempted
1999,Gdańsk,farm building,45,Attempted
1999,Gdańsk,railway,11,Attempted
1999,Gdańsk,street,3,Attempted
1999,Gdańsk,park/forest,33,Attempted
1999,Gdańsk,river/lake,8,Attempted
1999,Gdańsk,medical facility,6,Attempted
1999,Gdańsk,legal_isolation,1,Attempted
1999,Gdańsk,military area,0,Attempted
1999,Gdańsk,workplace,8,Attempted
1999,Katowice,apartment,237,Attempted
1999,Katowice,garage/basement/attic,87,Attempted
1999,Katowice,farm building,52,Attempted
1999,Katowice,railway,19,Attempted
1999,Katowice,street,4,Attempted
1999,Katowice,park/forest,53,Attempted
1999,Katowice,river/lake,5,Attempted
1999,Katowice,medical facility,7,Attempted
1999,Katowice,legal_isolation,4,Attempted
1999,Katowice,military area,0,Attempted
1999,Katowice,workplace,8,Attempted
1999,Kielce,apartment,55,Attempted
1999,Kielce,garage/basement/attic,34,Attempted
1999,Kielce,farm building,60,Attempted
1999,Kielce,railway,6,Attempted
1999,Kielce,street,3,Attempted
1999,Kielce,park/forest,19,Attempted
1999,Kielce,river/lake,1,Attempted
1999,Kielce,medical facility,2,Attempted
1999,Kielce,legal_isolation,1,Attempted
1999,Kielce,military area,0,Attempted
1999,Kielce,workplace,2,Attempted
1999,Olsztyn,apartment,70,Attempted
1999,Olsztyn,garage/basement/attic,27,Attempted
1999,Olsztyn,farm building,41,Attempted
1999,Olsztyn,railway,5,Attempted
1999,Olsztyn,street,4,Attempted
1999,Olsztyn,park/forest,13,Attempted
1999,Olsztyn,river/lake,3,Attempted
1999,Olsztyn,medical facility,8,Attempted
1999,Olsztyn,legal_isolation,1,Attempted
1999,Olsztyn,military area,0,Attempted
1999,Olsztyn,workplace,2,Attempted
1999,Poznań,apartment,237,Attempted
1999,Poznań,garage/basement/attic,64,Attempted
1999,Poznań,farm building,148,Attempted
1999,Poznań,railway,25,Attempted
1999,Poznań,street,6,Attempted
1999,Poznań,park/forest,66,Attempted
1999,Poznań,river/lake,12,Attempted
1999,Poznań,medical facility,12,Attempted
1999,Poznań,legal_isolation,2,Attempted
1999,Poznań,military area,0,Attempted
1999,Poznań,workplace,6,Attempted
1999,Szczecin,apartment,144,Attempted
1999,Szczecin,garage/basement/attic,37,Attempted
1999,Szczecin,farm building,38,Attempted
1999,Szczecin,railway,8,Attempted
1999,Szczecin,street,2,Attempted
1999,Szczecin,park/forest,32,Attempted
1999,Szczecin,river/lake,6,Attempted
1999,Szczecin,medical facility,2,Attempted
1999,Szczecin,legal_isolation,1,Attempted
1999,Szczecin,military area,0,Attempted
1999,Szczecin,workplace,3,Attempted
1999,Warszawa,apartment,78,Attempted
1999,Warszawa,garage/basement/attic,8,Attempted
1999,Warszawa,farm building,2,Attempted
1999,Warszawa,railway,3,Attempted
1999,Warszawa,street,0,Attempted
1999,Warszawa,park/forest,2,Attempted
1999,Warszawa,river/lake,4,Attempted
1999,Warszawa,medical facility,2,Attempted
1999,Warszawa,legal_isolation,1,Attempted
1999,Warszawa,military area,0,Attempted
1999,Warszawa,workplace,2,Attempted
2000,Wrocław,apartment,192,Attempted
2000,Wrocław,garage/basement/attic,62,Attempted
2000,Wrocław,farm building,58,Attempted
2000,Wrocław,railway,6,Attempted
2000,Wrocław,street,3,Attempted
2000,Wrocław,park/forest,31,Attempted
2000,Wrocław,river/lake,9,Attempted
2000,Wrocław,medical facility,7,Attempted
2000,Wrocław,legal_isolation,5,Attempted
2000,Wrocław,military area,0,Attempted
2000,Wrocław,workplace,3,Attempted
2000,Bydgoszcz,apartment,92,Attempted
2000,Bydgoszcz,garage/basement/attic,38,Attempted
2000,Bydgoszcz,farm building,52,Attempted
2000,Bydgoszcz,railway,4,Attempted
2000,Bydgoszcz,street,0,Attempted
2000,Bydgoszcz,park/forest,28,Attempted
2000,Bydgoszcz,river/lake,3,Attempted
2000,Bydgoszcz,medical facility,1,Attempted
2000,Bydgoszcz,legal_isolation,3,Attempted
2000,Bydgoszcz,military area,0,Attempted
2000,Bydgoszcz,workplace,3,Attempted
2000,Lublin,apartment,81,Attempted
2000,Lublin,garage/basement/attic,24,Attempted
2000,Lublin,farm building,83,Attempted
2000,Lublin,railway,8,Attempted
2000,Lublin,street,6,Attempted
2000,Lublin,park/forest,24,Attempted
2000,Lublin,river/lake,9,Attempted
2000,Lublin,medical facility,3,Attempted
2000,Lublin,legal_isolation,3,Attempted
2000,Lublin,military area,0,Attempted
2000,Lublin,workplace,2,Attempted
2000,Gorzów Wlkp.,apartment,73,Attempted
2000,Gorzów Wlkp.,garage/basement/attic,19,Attempted
2000,Gorzów Wlkp.,farm building,19,Attempted
2000,Gorzów Wlkp.,railway,5,Attempted
2000,Gorzów Wlkp.,street,2,Attempted
2000,Gorzów Wlkp.,park/forest,21,Attempted
2000,Gorzów Wlkp.,river/lake,8,Attempted
2000,Gorzów Wlkp.,medical facility,3,Attempted
2000,Gorzów Wlkp.,legal_isolation,3,Attempted
2000,Gorzów Wlkp.,military area,0,Attempted
2000,Gorzów Wlkp.,workplace,9,Attempted
2000,Łódź,apartment,152,Attempted
2000,Łódź,garage/basement/attic,58,Attempted
2000,Łódź,farm building,85,Attempted
2000,Łódź,railway,17,Attempted
2000,Łódź,street,4,Attempted
2000,Łódź,park/forest,40,Attempted
2000,Łódź,river/lake,3,Attempted
2000,Łódź,medical facility,1,Attempted
2000,Łódź,legal_isolation,3,Attempted
2000,Łódź,military area,0,Attempted
2000,Łódź,workplace,1,Attempted
2000,Kraków,apartment,197,Attempted
2000,Kraków,garage/basement/attic,81,Attempted
2000,Kraków,farm building,118,Attempted
2000,Kraków,railway,7,Attempted
2000,Kraków,street,12,Attempted
2000,Kraków,park/forest,40,Attempted
2000,Kraków,river/lake,8,Attempted
2000,Kraków,medical facility,12,Attempted
2000,Kraków,legal_isolation,1,Attempted
2000,Kraków,military area,0,Attempted
2000,Kraków,workplace,3,Attempted
2000,Radom,apartment,143,Attempted
2000,Radom,garage/basement/attic,50,Attempted
2000,Radom,farm building,120,Attempted
2000,Radom,railway,11,Attempted
2000,Radom,street,10,Attempted
2000,Radom,park/forest,41,Attempted
2000,Radom,river/lake,6,Attempted
2000,Radom,medical facility,6,Attempted
2000,Radom,legal_isolation,0,Attempted
2000,Radom,military area,0,Attempted
2000,Radom,workplace,5,Attempted
2000,Opole,apartment,75,Attempted
2000,Opole,garage/basement/attic,30,Attempted
2000,Opole,farm building,30,Attempted
2000,Opole,railway,5,Attempted
2000,Opole,street,1,Attempted
2000,Opole,park/forest,8,Attempted
2000,Opole,river/lake,1,Attempted
2000,Opole,medical facility,3,Attempted
2000,Opole,legal_isolation,1,Attempted
2000,Opole,military area,0,Attempted
2000,Opole,workplace,0,Attempted
2000,Rzeszów,apartment,106,Attempted
2000,Rzeszów,garage/basement/attic,56,Attempted
2000,Rzeszów,farm building,96,Attempted
2000,Rzeszów,railway,12,Attempted
2000,Rzeszów,street,0,Attempted
2000,Rzeszów,park/forest,22,Attempted
2000,Rzeszów,river/lake,4,Attempted
2000,Rzeszów,medical facility,6,Attempted
2000,Rzeszów,legal_isolation,3,Attempted
2000,Rzeszów,military area,0,Attempted
2000,Rzeszów,workplace,2,Attempted
2000,Białystok,apartment,93,Attempted
2000,Białystok,garage/basement/attic,18,Attempted
2000,Białystok,farm building,50,Attempted
2000,Białystok,railway,5,Attempted
2000,Białystok,street,3,Attempted
2000,Białystok,park/forest,16,Attempted
2000,Białystok,river/lake,3,Attempted
2000,Białystok,medical facility,7,Attempted
2000,Białystok,legal_isolation,1,Attempted
2000,Białystok,military area,0,Attempted
2000,Białystok,workplace,5,Attempted
2000,Gdańsk,apartment,129,Attempted
2000,Gdańsk,garage/basement/attic,38,Attempted
2000,Gdańsk,farm building,52,Attempted
2000,Gdańsk,railway,14,Attempted
2000,Gdańsk,street,3,Attempted
2000,Gdańsk,park/forest,36,Attempted
2000,Gdańsk,river/lake,5,Attempted
2000,Gdańsk,medical facility,6,Attempted
2000,Gdańsk,legal_isolation,3,Attempted
2000,Gdańsk,military area,0,Attempted
2000,Gdańsk,workplace,6,Attempted
2000,Katowice,apartment,261,Attempted
2000,Katowice,garage/basement/attic,87,Attempted
2000,Katowice,farm building,59,Attempted
2000,Katowice,railway,19,Attempted
2000,Katowice,street,7,Attempted
2000,Katowice,park/forest,46,Attempted
2000,Katowice,river/lake,11,Attempted
2000,Katowice,medical facility,9,Attempted
2000,Katowice,legal_isolation,1,Attempted
2000,Katowice,military area,0,Attempted
2000,Katowice,workplace,6,Attempted
2000,Kielce,apartment,58,Attempted
2000,Kielce,garage/basement/attic,25,Attempted
2000,Kielce,farm building,54,Attempted
2000,Kielce,railway,3,Attempted
2000,Kielce,street,1,Attempted
2000,Kielce,park/forest,22,Attempted
2000,Kielce,river/lake,3,Attempted
2000,Kielce,medical facility,3,Attempted
2000,Kielce,legal_isolation,0,Attempted
2000,Kielce,military area,0,Attempted
2000,Kielce,workplace,5,Attempted
2000,Olsztyn,apartment,49,Attempted
2000,Olsztyn,garage/basement/attic,17,Attempted
2000,Olsztyn,farm building,39,Attempted
2000,Olsztyn,railway,1,Attempted
2000,Olsztyn,street,3,Attempted
2000,Olsztyn,park/forest,12,Attempted
2000,Olsztyn,river/lake,4,Attempted
2000,Olsztyn,medical facility,2,Attempted
2000,Olsztyn,legal_isolation,1,Attempted
2000,Olsztyn,military area,0,Attempted
2000,Olsztyn,workplace,2,Attempted
2000,Poznań,apartment,256,Attempted
2000,Poznań,garage/basement/attic,71,Attempted
2000,Poznań,farm building,132,Attempted
2000,Poznań,railway,14,Attempted
2000,Poznań,street,4,Attempted
2000,Poznań,park/forest,51,Attempted
2000,Poznań,river/lake,13,Attempted
2000,Poznań,medical facility,13,Attempted
2000,Poznań,legal_isolation,4,Attempted
2000,Poznań,military area,0,Attempted
2000,Poznań,workplace,12,Attempted
2000,Szczecin,apartment,162,Attempted
2000,Szczecin,garage/basement/attic,24,Attempted
2000,Szczecin,farm building,44,Attempted
2000,Szczecin,railway,1,Attempted
2000,Szczecin,street,4,Attempted
2000,Szczecin,park/forest,31,Attempted
2000,Szczecin,river/lake,8,Attempted
2000,Szczecin,medical facility,4,Attempted
2000,Szczecin,legal_isolation,1,Attempted
2000,Szczecin,military area,0,Attempted
2000,Szczecin,workplace,2,Attempted
2000,Warszawa,apartment,59,Attempted
2000,Warszawa,garage/basement/attic,15,Attempted
2000,Warszawa,farm building,1,Attempted
2000,Warszawa,railway,3,Attempted
2000,Warszawa,street,0,Attempted
2000,Warszawa,park/forest,4,Attempted
2000,Warszawa,river/lake,3,Attempted
2000,Warszawa,medical facility,4,Attempted
2000,Warszawa,legal_isolation,3,Attempted
2000,Warszawa,military area,0,Attempted
2000,Warszawa,workplace,3,Attempted
2001,Wrocław,apartment,151,Attempted
2001,Wrocław,garage/basement/attic,69,Attempted
2001,Wrocław,farm building,40,Attempted
2001,Wrocław,railway,10,Attempted
2001,Wrocław,street,7,Attempted
2001,Wrocław,park/forest,31,Attempted
2001,Wrocław,river/lake,2,Attempted
2001,Wrocław,medical facility,2,Attempted
2001,Wrocław,legal_isolation,5,Attempted
2001,Wrocław,military area,0,Attempted
2001,Wrocław,workplace,3,Attempted
2001,Bydgoszcz,apartment,95,Attempted
2001,Bydgoszcz,garage/basement/attic,38,Attempted
2001,Bydgoszcz,farm building,53,Attempted
2001,Bydgoszcz,railway,4,Attempted
2001,Bydgoszcz,street,0,Attempted
2001,Bydgoszcz,park/forest,27,Attempted
2001,Bydgoszcz,river/lake,9,Attempted
2001,Bydgoszcz,medical facility,2,Attempted
2001,Bydgoszcz,legal_isolation,1,Attempted
2001,Bydgoszcz,military area,1,Attempted
2001,Bydgoszcz,workplace,4,Attempted
2001,Lublin,apartment,95,Attempted
2001,Lublin,garage/basement/attic,32,Attempted
2001,Lublin,farm building,100,Attempted
2001,Lublin,railway,5,Attempted
2001,Lublin,street,1,Attempted
2001,Lublin,park/forest,32,Attempted
2001,Lublin,river/lake,2,Attempted
2001,Lublin,medical facility,4,Attempted
2001,Lublin,legal_isolation,3,Attempted
2001,Lublin,military area,0,Attempted
2001,Lublin,workplace,3,Attempted
2001,Gorzów Wlkp.,apartment,104,Attempted
2001,Gorzów Wlkp.,garage/basement/attic,30,Attempted
2001,Gorzów Wlkp.,farm building,41,Attempted
2001,Gorzów Wlkp.,railway,8,Attempted
2001,Gorzów Wlkp.,street,2,Attempted
2001,Gorzów Wlkp.,park/forest,23,Attempted
2001,Gorzów Wlkp.,river/lake,6,Attempted
2001,Gorzów Wlkp.,medical facility,1,Attempted
2001,Gorzów Wlkp.,legal_isolation,2,Attempted
2001,Gorzów Wlkp.,military area,1,Attempted
2001,Gorzów Wlkp.,workplace,3,Attempted
2001,Łódź,apartment,146,Attempted
2001,Łódź,garage/basement/attic,48,Attempted
2001,Łódź,farm building,87,Attempted
2001,Łódź,railway,8,Attempted
2001,Łódź,street,4,Attempted
2001,Łódź,park/forest,29,Attempted
2001,Łódź,river/lake,5,Attempted
2001,Łódź,medical facility,3,Attempted
2001,Łódź,legal_isolation,3,Attempted
2001,Łódź,military area,0,Attempted
2001,Łódź,workplace,2,Attempted
2001,Kraków,apartment,233,Attempted
2001,Kraków,garage/basement/attic,88,Attempted
2001,Kraków,farm building,115,Attempted
2001,Kraków,railway,12,Attempted
2001,Kraków,street,5,Attempted
2001,Kraków,park/forest,37,Attempted
2001,Kraków,river/lake,11,Attempted
2001,Kraków,medical facility,9,Attempted
2001,Kraków,legal_isolation,0,Attempted
2001,Kraków,military area,0,Attempted
2001,Kraków,workplace,8,Attempted
2001,Radom,apartment,142,Attempted
2001,Radom,garage/basement/attic,52,Attempted
2001,Radom,farm building,117,Attempted
2001,Radom,railway,11,Attempted
2001,Radom,street,10,Attempted
2001,Radom,park/forest,55,Attempted
2001,Radom,river/lake,5,Attempted
2001,Radom,medical facility,5,Attempted
2001,Radom,legal_isolation,2,Attempted
2001,Radom,military area,0,Attempted
2001,Radom,workplace,2,Attempted
2001,Opole,apartment,54,Attempted
2001,Opole,garage/basement/attic,24,Attempted
2001,Opole,farm building,21,Attempted
2001,Opole,railway,6,Attempted
2001,Opole,street,0,Attempted
2001,Opole,park/forest,14,Attempted
2001,Opole,river/lake,4,Attempted
2001,Opole,medical facility,2,Attempted
2001,Opole,legal_isolation,0,Attempted
2001,Opole,military area,0,Attempted
2001,Opole,workplace,3,Attempted
2001,Rzeszów,apartment,87,Attempted
2001,Rzeszów,garage/basement/attic,52,Attempted
2001,Rzeszów,farm building,91,Attempted
2001,Rzeszów,railway,6,Attempted
2001,Rzeszów,street,4,Attempted
2001,Rzeszów,park/forest,28,Attempted
2001,Rzeszów,river/lake,5,Attempted
2001,Rzeszów,medical facility,5,Attempted
2001,Rzeszów,legal_isolation,1,Attempted
2001,Rzeszów,military area,2,Attempted
2001,Rzeszów,workplace,0,Attempted
2001,Białystok,apartment,78,Attempted
2001,Białystok,garage/basement/attic,20,Attempted
2001,Białystok,farm building,61,Attempted
2001,Białystok,railway,0,Attempted
2001,Białystok,street,1,Attempted
2001,Białystok,park/forest,21,Attempted
2001,Białystok,river/lake,4,Attempted
2001,Białystok,medical facility,2,Attempted
2001,Białystok,legal_isolation,2,Attempted
2001,Białystok,military area,0,Attempted
2001,Białystok,workplace,1,Attempted
2001,Gdańsk,apartment,162,Attempted
2001,Gdańsk,garage/basement/attic,43,Attempted
2001,Gdańsk,farm building,49,Attempted
2001,Gdańsk,railway,10,Attempted
2001,Gdańsk,street,3,Attempted
2001,Gdańsk,park/forest,30,Attempted
2001,Gdańsk,river/lake,4,Attempted
2001,Gdańsk,medical facility,2,Attempted
2001,Gdańsk,legal_isolation,3,Attempted
2001,Gdańsk,military area,0,Attempted
2001,Gdańsk,workplace,8,Attempted
2001,Katowice,apartment,245,Attempted
2001,Katowice,garage/basement/attic,103,Attempted
2001,Katowice,farm building,47,Attempted
2001,Katowice,railway,19,Attempted
2001,Katowice,street,2,Attempted
2001,Katowice,park/forest,56,Attempted
2001,Katowice,river/lake,4,Attempted
2001,Katowice,medical facility,12,Attempted
2001,Katowice,legal_isolation,0,Attempted
2001,Katowice,military area,1,Attempted
2001,Katowice,workplace,6,Attempted
2001,Kielce,apartment,50,Attempted
2001,Kielce,garage/basement/attic,16,Attempted
2001,Kielce,farm building,54,Attempted
2001,Kielce,railway,6,Attempted
2001,Kielce,street,3,Attempted
2001,Kielce,park/forest,25,Attempted
2001,Kielce,river/lake,2,Attempted
2001,Kielce,medical facility,4,Attempted
2001,Kielce,legal_isolation,2,Attempted
2001,Kielce,military area,0,Attempted
2001,Kielce,workplace,2,Attempted
2001,Olsztyn,apartment,88,Attempted
2001,Olsztyn,garage/basement/attic,40,Attempted
2001,Olsztyn,farm building,41,Attempted
2001,Olsztyn,railway,4,Attempted
2001,Olsztyn,street,5,Attempted
2001,Olsztyn,park/forest,18,Attempted
2001,Olsztyn,river/lake,5,Attempted
2001,Olsztyn,medical facility,3,Attempted
2001,Olsztyn,legal_isolation,2,Attempted
2001,Olsztyn,military area,0,Attempted
2001,Olsztyn,workplace,1,Attempted
2001,Poznań,apartment,233,Attempted
2001,Poznań,garage/basement/attic,88,Attempted
2001,Poznań,farm building,126,Attempted
2001,Poznań,railway,31,Attempted
2001,Poznań,street,6,Attempted
2001,Poznań,park/forest,47,Attempted
2001,Poznań,river/lake,13,Attempted
2001,Poznań,medical facility,5,Attempted
2001,Poznań,legal_isolation,6,Attempted
2001,Poznań,military area,0,Attempted
2001,Poznań,workplace,13,Attempted
2001,Szczecin,apartment,136,Attempted
2001,Szczecin,garage/basement/attic,32,Attempted
2001,Szczecin,farm building,41,Attempted
2001,Szczecin,railway,4,Attempted
2001,Szczecin,street,5,Attempted
2001,Szczecin,park/forest,34,Attempted
2001,Szczecin,river/lake,6,Attempted
2001,Szczecin,medical facility,1,Attempted
2001,Szczecin,legal_isolation,1,Attempted
2001,Szczecin,military area,0,Attempted
2001,Szczecin,workplace,4,Attempted
2001,Warszawa,apartment,57,Attempted
2001,Warszawa,garage/basement/attic,9,Attempted
2001,Warszawa,farm building,0,Attempted
2001,Warszawa,railway,4,Attempted
2001,Warszawa,street,0,Attempted
2001,Warszawa,park/forest,5,Attempted
2001,Warszawa,river/lake,3,Attempted
2001,Warszawa,medical facility,5,Attempted
2001,Warszawa,legal_isolation,1,Attempted
2001,Warszawa,military area,0,Attempted
2001,Warszawa,workplace,1,Attempted
2002,Wrocław,apartment,150,Attempted
2002,Wrocław,garage/basement/attic,66,Attempted
2002,Wrocław,farm building,42,Attempted
2002,Wrocław,railway,7,Attempted
2002,Wrocław,street,4,Attempted
2002,Wrocław,park/forest,42,Attempted
2002,Wrocław,river/lake,7,Attempted
2002,Wrocław,medical facility,7,Attempted
2002,Wrocław,legal_isolation,2,Attempted
2002,Wrocław,military area,0,Attempted
2002,Wrocław,workplace,3,Attempted
2002,Bydgoszcz,apartment,83,Attempted
2002,Bydgoszcz,garage/basement/attic,36,Attempted
2002,Bydgoszcz,farm building,41,Attempted
2002,Bydgoszcz,railway,5,Attempted
2002,Bydgoszcz,street,2,Attempted
2002,Bydgoszcz,park/forest,26,Attempted
2002,Bydgoszcz,river/lake,8,Attempted
2002,Bydgoszcz,medical facility,2,Attempted
2002,Bydgoszcz,legal_isolation,2,Attempted
2002,Bydgoszcz,military area,0,Attempted
2002,Bydgoszcz,workplace,3,Attempted
2002,Lublin,apartment,98,Attempted
2002,Lublin,garage/basement/attic,35,Attempted
2002,Lublin,farm building,106,Attempted
2002,Lublin,railway,8,Attempted
2002,Lublin,street,3,Attempted
2002,Lublin,park/forest,28,Attempted
2002,Lublin,river/lake,5,Attempted
2002,Lublin,medical facility,1,Attempted
2002,Lublin,legal_isolation,3,Attempted
2002,Lublin,military area,0,Attempted
2002,Lublin,workplace,3,Attempted
2002,Gorzów Wlkp.,apartment,116,Attempted
2002,Gorzów Wlkp.,garage/basement/attic,24,Attempted
2002,Gorzów Wlkp.,farm building,33,Attempted
2002,Gorzów Wlkp.,railway,2,Attempted
2002,Gorzów Wlkp.,street,2,Attempted
2002,Gorzów Wlkp.,park/forest,25,Attempted
2002,Gorzów Wlkp.,river/lake,4,Attempted
2002,Gorzów Wlkp.,medical facility,3,Attempted
2002,Gorzów Wlkp.,legal_isolation,3,Attempted
2002,Gorzów Wlkp.,military area,0,Attempted
2002,Gorzów Wlkp.,workplace,3,Attempted
2002,Łódź,apartment,147,Attempted
2002,Łódź,garage/basement/attic,56,Attempted
2002,Łódź,farm building,80,Attempted
2002,Łódź,railway,10,Attempted
2002,Łódź,street,8,Attempted
2002,Łódź,park/forest,25,Attempted
2002,Łódź,river/lake,3,Attempted
2002,Łódź,medical facility,8,Attempted
2002,Łódź,legal_isolation,5,Attempted
2002,Łódź,military area,0,Attempted
2002,Łódź,workplace,3,Attempted
2002,Kraków,apartment,225,Attempted
2002,Kraków,garage/basement/attic,92,Attempted
2002,Kraków,farm building,112,Attempted
2002,Kraków,railway,14,Attempted
2002,Kraków,street,8,Attempted
2002,Kraków,park/forest,59,Attempted
2002,Kraków,river/lake,24,Attempted
2002,Kraków,medical facility,6,Attempted
2002,Kraków,legal_isolation,5,Attempted
2002,Kraków,military area,0,Attempted
2002,Kraków,workplace,3,Attempted
2002,Radom,apartment,117,Attempted
2002,Radom,garage/basement/attic,54,Attempted
2002,Radom,farm building,95,Attempted
2002,Radom,railway,6,Attempted
2002,Radom,street,5,Attempted
2002,Radom,park/forest,51,Attempted
2002,Radom,river/lake,7,Attempted
2002,Radom,medical facility,2,Attempted
2002,Radom,legal_isolation,1,Attempted
2002,Radom,military area,0,Attempted
2002,Radom,workplace,2,Attempted
2002,Opole,apartment,62,Attempted
2002,Opole,garage/basement/attic,23,Attempted
2002,Opole,farm building,20,Attempted
2002,Opole,railway,5,Attempted
2002,Opole,street,2,Attempted
2002,Opole,park/forest,13,Attempted
2002,Opole,river/lake,5,Attempted
2002,Opole,medical facility,0,Attempted
2002,Opole,legal_isolation,3,Attempted
2002,Opole,military area,0,Attempted
2002,Opole,workplace,4,Attempted
2002,Rzeszów,apartment,131,Attempted
2002,Rzeszów,garage/basement/attic,56,Attempted
2002,Rzeszów,farm building,84,Attempted
2002,Rzeszów,railway,10,Attempted
2002,Rzeszów,street,3,Attempted
2002,Rzeszów,park/forest,30,Attempted
2002,Rzeszów,river/lake,9,Attempted
2002,Rzeszów,medical facility,4,Attempted
2002,Rzeszów,legal_isolation,1,Attempted
2002,Rzeszów,military area,0,Attempted
2002,Rzeszów,workplace,1,Attempted
2002,Białystok,apartment,79,Attempted
2002,Białystok,garage/basement/attic,30,Attempted
2002,Białystok,farm building,51,Attempted
2002,Białystok,railway,7,Attempted
2002,Białystok,street,2,Attempted
2002,Białystok,park/forest,20,Attempted
2002,Białystok,river/lake,4,Attempted
2002,Białystok,medical facility,3,Attempted
2002,Białystok,legal_isolation,2,Attempted
2002,Białystok,military area,0,Attempted
2002,Białystok,workplace,3,Attempted
2002,Gdańsk,apartment,128,Attempted
2002,Gdańsk,garage/basement/attic,63,Attempted
2002,Gdańsk,farm building,63,Attempted
