year,garnizon,education,suicides,outcome
2000,Gdańsk,basic incomplete,18,Attempted
2000,Gdańsk,basic,65,Attempted
2000,Gdańsk,technical/professional,59,Attempted
2000,Gdańsk,medium,21,Attempted
2000,Gdańsk,higher,9,Attempted
2000,Katowice,basic incomplete,15,Attempted
2000,Katowice,basic,98,Attempted
2000,Katowice,technical/professional,165,Attempted
2000,Katowice,medium,51,Attempted
2000,Katowice,higher,11,Attempted
2000,Kielce,basic incomplete,13,Attempted
2000,Kielce,basic,51,Attempted
2000,Kielce,technical/professional,52,Attempted
2000,Kielce,medium,25,Attempted
2000,Kielce,higher,5,Attempted
2000,Olsztyn,basic incomplete,6,Attempted
2000,Olsztyn,basic,46,Attempted
2000,Olsztyn,technical/professional,21,Attempted
2000,Olsztyn,medium,13,Attempted
2000,Olsztyn,higher,1,Attempted
2000,Poznań,basic incomplete,24,Attempted
2000,Poznań,basic,161,Attempted
2000,Poznań,technical/professional,169,Attempted
2000,Poznań,medium,51,Attempted
2000,Poznań,higher,15,Attempted
2000,Szczecin,basic incomplete,17,Attempted
2000,Szczecin,basic,77,Attempted
2000,Szczecin,technical/professional,59,Attempted
2000,Szczecin,medium,25,Attempted
2000,Szczecin,higher,3,Attempted
2000,Warszawa,basic incomplete,3,Attempted
2000,Warszawa,basic,11,Attempted
2000,Warszawa,technical/professional,18,Attempted
2000,Warszawa,medium,16,Attempted
2000,Warszawa,higher,9,Attempted
2001,Wrocław,basic incomplete,13,Attempted
2001,Wrocław,basic,73,Attempted
2001,Wrocław,technical/professional,94,Attempted
2001,Wrocław,medium,26,Attempted
2001,Wrocław,higher,4,Attempted
2001,Bydgoszcz,basic incomplete,9,Attempted
2001,Bydgoszcz,basic,74,Attempted
2001,Bydgoszcz,technical/professional,59,Attempted
2001,Bydgoszcz,medium,22,Attempted
2001,Bydgoszcz,higher,3,Attempted
2001,Lublin,basic incomplete,19,Attempted
2001,Lublin,basic,98,Attempted
2001,Lublin,technical/professional,76,Attempted
2001,Lublin,medium,29,Attempted
2001,Lublin,higher,7,Attempted
2001,Gorzów Wlkp.,basic incomplete,6,Attempted
2001,Gorzów Wlkp.,basic,31,Attempted
2001,Gorzów Wlkp.,technical/professional,42,Attempted
2001,Gorzów Wlkp.,medium,20,Attempted
2001,Gorzów Wlkp.,higher,7,Attempted
2001,Łódź,basic incomplete,30,Attempted
2001,Łódź,basic,99,Attempted
2001,Łódź,technical/professional,85,Attempted
2001,Łódź,medium,26,Attempted
2001,Łódź,higher,11,Attempted
2001,Kraków,basic incomplete,15,Attempted
2001,Kraków,basic,124,Attempted
2001,Kraków,technical/professional,143,Attempted
2001,Kraków,medium,52,Attempted
2001,Kraków,higher,24,Attempted
2001,Radom,basic incomplete,39,Attempted
2001,Radom,basic,119,Attempted
2001,Radom,technical/professional,99,Attempted
2001,Radom,medium,40,Attempted
2001,Radom,higher,3,Attempted
2001,Opole,basic incomplete,4,Attempted
2001,Opole,basic,34,Attempted
2001,Opole,technical/professional,42,Attempted
2001,Opole,medium,11,Attempted
2001,Opole,higher,3,Attempted
2001,Rzeszów,basic incomplete,20,Attempted
2001,Rzeszów,basic,85,Attempted
2001,Rzeszów,technical/professional,82,Attempted
2001,Rzeszów,medium,25,Attempted
2001,Rzeszów,higher,7,Attempted
2001,Białystok,basic incomplete,19,Attempted
2001,Białystok,basic,69,Attempted
2001,Białystok,technical/professional,45,Attempted
2001,Białystok,medium,10,Attempted
2001,Białystok,higher,3,Attempted
2001,Gdańsk,basic incomplete,4,Attempted
2001,Gdańsk,basic,68,Attempted
2001,Gdańsk,technical/professional,64,Attempted
2001,Gdańsk,medium,24,Attempted
2001,Gdańsk,higher,10,Attempted
2001,Katowice,basic incomplete,8,Attempted
2001,Katowice,basic,90,Attempted
2001,Katowice,technical/professional,140,Attempted
2001,Katowice,medium,43,Attempted
2001,Katowice,higher,10,Attempted
2001,Kielce,basic incomplete,12,Attempted
2001,Kielce,basic,49,Attempted
2001,Kielce,technical/professional,62,Attempted
2001,Kielce,medium,19,Attempted
2001,Kielce,higher,4,Attempted
2001,Olsztyn,basic incomplete,12,Attempted
2001,Olsztyn,basic,73,Attempted
2001,Olsztyn,technical/professional,36,Attempted
2001,Olsztyn,medium,12,Attempted
2001,Olsztyn,higher,8,Attempted
2001,Poznań,basic incomplete,25,Attempted
2001,Poznań,basic,135,Attempted
2001,Poznań,technical/professional,185,Attempted
2001,Poznań,medium,53,Attempted
2001,Poznań,higher,10,Attempted
2001,Szczecin,basic incomplete,16,Attempted
2001,Szczecin,basic,66,Attempted
2001,Szczecin,technical/professional,52,Attempted
2001,Szczecin,medium,22,Attempted
2001,Szczecin,higher,3,Attempted
2001,Warszawa,basic incomplete,0,Attempted
2001,Warszawa,basic,7,Attempted
2001,Warszawa,technical/professional,8,Attempted
2001,Warszawa,medium,14,Attempted
2001,Warszawa,higher,6,Attempted
2002,Wrocław,basic incomplete,8,Attempted
2002,Wrocław,basic,80,Attempted
