,Year,Garnizon,Suicides
198,2012,KWP Opole,99
199,2012,KWP Poznań,245
200,2012,KWP Radom,323
201,2012,KWP Rzeszów,192
202,2012,KWP Szczecin,128
203,2012,KWP Wrocław,231
204,2013,KSP Warszawa,444
205,2013,KWP Białystok,171
206,2013,KWP Bydgoszcz,259
207,2013,KWP Gdańsk,337
208,2013,KWP Gorzów Wlkp.,178
209,2013,KWP Katowice,783
210,2013,KWP Kielce,255
211,2013,KWP Kraków,479
212,2013,KWP Łódź,475
213,2013,KWP Lublin,386
214,2013,KWP Olsztyn,248
215,2013,KWP Opole,152
216,2013,KWP Poznań,407
217,2013,KWP Radom,459
218,2013,KWP Rzeszów,264
219,2013,KWP Szczecin,320
220,2013,KWP Wrocław,484
221,2014,KSP Warszawa,443
222,2014,KWP Białystok,176
223,2014,KWP Bydgoszcz,302
224,2014,KWP Gdańsk,338
225,2014,KWP Gorzów Wlkp.,162
226,2014,KWP Katowice,720
227,2014,KWP Kielce,237
228,2014,KWP Kraków,500
229,2014,KWP Łódź,454
230,2014,KWP Lublin,365
231,2014,KWP Olsztyn,285
232,2014,KWP Opole,133
233,2014,KWP Poznań,454
234,2014,KWP Radom,450
235,2014,KWP Rzeszów,273
236,2014,KWP Szczecin,319
237,2014,KWP Wrocław,554
238,2015,KSP Warszawa,383
239,2015,KWP Białystok,160
240,2015,KWP Bydgoszcz,278
241,2015,KWP Gdańsk,333
242,2015,KWP Gorzów Wlkp.,180
243,2015,KWP Katowice,687
244,2015,KWP Kielce,233
245,2015,KWP Kraków,436
246,2015,KWP Łódź,400
247,2015,KWP Lublin,351
248,2015,KWP Olsztyn,254
249,2015,KWP Opole,144
250,2015,KWP Poznań,400
251,2015,KWP Radom,413
252,2015,KWP Rzeszów,266
253,2015,KWP Szczecin,284
254,2015,KWP Wrocław,486
255,2016,KSP Warszawa,373
256,2016,KWP Białystok,167
257,2016,KWP Bydgoszcz,271
258,2016,KWP Gdańsk,293
259,2016,KWP Gorzów Wlkp.,171
260,2016,KWP Katowice,650
261,2016,KWP Kielce,210
262,2016,KWP Kraków,443
263,2016,KWP Łódź,379
264,2016,KWP Lublin,341
265,2016,KWP Olsztyn,232
266,2016,KWP Opole,129
267,2016,KWP Poznań,394
268,2016,KWP Radom,398
269,2016,KWP Rzeszów,239
270,2016,KWP Szczecin,265
271,2016,KWP Wrocław,450
272,2017,KSP Warszawa,348
273,2017,KWP Białystok,142
274,2017,KWP Bydgoszcz,247
275,2017,KWP Gdańsk,318
276,2017,KWP Gorzów Wlkp.,166
