Year,Garnizon,Total,Age,Suicides by age,Result,Sex,Suicides by sex,Population,Percentage
2006,KWP Gdańsk,347,7-12,1,Attempted,Male,274,582205,5.960099964789035e-4
2006,KWP Katowice,626,7-12,1,Attempted,Male,508,302397,0.0020701263570736483
2006,KWP Kielce,187,7-12,0,Attempted,Male,157,195942,9.543640465035572e-4
2006,KWP Olsztyn,295,7-12,0,Attempted,Male,224,173718,0.0016981544802496
2006,KWP Poznań,415,7-12,2,Attempted,Male,330,540365,7.679994078076855e-4
2006,KWP Szczecin,234,7-12,1,Attempted,Male,183,404461,5.785477462598371e-4
2006,KSP Warszawa,192,7-12,0,Attempted,Male,144,1790658,1.0722315484028775e-4
2006,Polska,5152,7-12,9,Attempted,Male,4174,NA,NA
2007,KWP Wrocław,282,7-12,0,Attempted,Male,229,638659,4.4155018562331384e-4
2007,KWP Bydgoszcz,251,7-12,1,Attempted,Male,197,354006,7.090275306068258e-4
2007,KWP Lublin,295,7-12,0,Attempted,Male,247,342039,8.624747470317712e-4
2007,KWP Gorzów Wlkp.,190,7-12,2,Attempted,Male,152,122141,0.0015555792076370751
2007,KWP Łódź,390,7-12,2,Attempted,Male,298,696708,5.597754008853063e-4
2007,KWP Kraków,337,7-12,1,Attempted,Male,269,766683,4.395558529405243e-4
2007,KWP Radom,301,7-12,0,Attempted,Male,257,213715,0.0014084177526144633
2007,KWP Opole,148,7-12,1,Attempted,Male,123,118303,0.001251024910610889
2007,KWP Rzeszów,198,7-12,1,Attempted,Male,160,183901,0.0010766662497756945
2007,KWP Białystok,215,7-12,1,Attempted,Male,185,293407,7.327705201307399e-4
2007,KWP Gdańsk,267,7-12,1,Attempted,Male,225,582205,4.5860135175754247e-4
2007,KWP Katowice,514,7-12,1,Attempted,Male,409,302397,0.001699752312357596
2007,KWP Kielce,139,7-12,0,Attempted,Male,119,195942,7.093935960641414e-4
2007,KWP Olsztyn,306,7-12,3,Attempted,Male,229,173718,0.0017614754947673816
2007,KWP Poznań,428,7-12,1,Attempted,Male,321,540365,7.920572205823842e-4
2007,KWP Szczecin,221,7-12,0,Attempted,Male,163,404461,5.464062048009574e-4
2007,KSP Warszawa,176,7-12,0,Attempted,Male,147,1790658,9.828789193693044e-5
2007,Polska,4658,7-12,15,Attempted,Male,3730,NA,NA
