Year,Garnizon,Total,Age,Suicides by age,Result,Sex,Suicides by sex,Population,Percentage
2005,KWP Gdańsk,339,25-29,28,Attempted,Male,279,582205,5.822691320067673e-4
2005,KWP Katowice,664,25-29,75,Attempted,Male,549,302397,0.002195788979388023
2005,KWP Kielce,174,25-29,14,Attempted,Male,153,195942,8.880178828428821e-4
2005,KWP Olsztyn,308,25-29,28,Attempted,Male,256,173718,0.0017729884064978873
2005,KWP Poznań,496,25-29,39,Attempted,Male,381,540365,9.178980874038844e-4
2005,KWP Szczecin,272,25-29,25,Attempted,Male,222,404461,6.72499944370409e-4
2005,KSP Warszawa,264,25-29,22,Attempted,Male,199,1790658,1.4743183790539568e-4
2005,Polska,5625,25-29,496,Attempted,Male,4596,NA,NA
2006,KWP Wrocław,320,25-29,22,Attempted,Male,253,638659,5.010498560264554e-4
2006,KWP Bydgoszcz,251,25-29,21,Attempted,Male,218,354006,7.090275306068258e-4
2006,KWP Lublin,345,25-29,25,Attempted,Male,293,342039,0.0010086569075456308
2006,KWP Gorzów Wlkp.,223,25-29,23,Attempted,Male,179,122141,0.0018257587542266725
2006,KWP Łódź,389,25-29,34,Attempted,Male,320,696708,5.583400793445748e-4
2006,KWP Kraków,386,25-29,43,Attempted,Male,306,766683,5.034675348220843e-4
2006,KWP Radom,312,25-29,28,Attempted,Male,271,213715,0.0014598881688229653
2006,KWP Opole,181,25-29,18,Attempted,Male,135,118303,0.0015299696541930467
2006,KWP Rzeszów,265,25-29,23,Attempted,Male,228,183901,0.0014409927080331266
2006,KWP Białystok,184,25-29,14,Attempted,Male,151,293407,6.271152358328192e-4
2006,KWP Gdańsk,347,25-29,21,Attempted,Male,274,582205,5.960099964789035e-4
2006,KWP Katowice,626,25-29,54,Attempted,Male,508,302397,0.0020701263570736483
2006,KWP Kielce,187,25-29,13,Attempted,Male,157,195942,9.543640465035572e-4
2006,KWP Olsztyn,295,25-29,22,Attempted,Male,224,173718,0.0016981544802496
2006,KWP Poznań,415,25-29,28,Attempted,Male,330,540365,7.679994078076855e-4
2006,KWP Szczecin,234,25-29,24,Attempted,Male,183,404461,5.785477462598371e-4
2006,KSP Warszawa,192,25-29,15,Attempted,Male,144,1790658,1.0722315484028775e-4
2006,Polska,5152,25-29,428,Attempted,Male,4174,NA,NA
2007,KWP Wrocław,282,25-29,32,Attempted,Male,229,638659,4.4155018562331384e-4
2007,KWP Bydgoszcz,251,25-29,17,Attempted,Male,197,354006,7.090275306068258e-4
2007,KWP Lublin,295,25-29,22,Attempted,Male,247,342039,8.624747470317712e-4
2007,KWP Gorzów Wlkp.,190,25-29,11,Attempted,Male,152,122141,0.0015555792076370751
2007,KWP Łódź,390,25-29,27,Attempted,Male,298,696708,5.597754008853063e-4
2007,KWP Kraków,337,25-29,35,Attempted,Male,269,766683,4.395558529405243e-4
2007,KWP Radom,301,25-29,23,Attempted,Male,257,213715,0.0014084177526144633
2007,KWP Opole,148,25-29,12,Attempted,Male,123,118303,0.001251024910610889
2007,KWP Rzeszów,198,25-29,24,Attempted,Male,160,183901,0.0010766662497756945
2007,KWP Białystok,215,25-29,20,Attempted,Male,185,293407,7.327705201307399e-4
2007,KWP Gdańsk,267,25-29,18,Attempted,Male,225,582205,4.5860135175754247e-4
2007,KWP Katowice,514,25-29,50,Attempted,Male,409,302397,0.001699752312357596
2007,KWP Kielce,139,25-29,14,Attempted,Male,119,195942,7.093935960641414e-4
2007,KWP Olsztyn,306,25-29,32,Attempted,Male,229,173718,0.0017614754947673816
2007,KWP Poznań,428,25-29,36,Attempted,Male,321,540365,7.920572205823842e-4
2007,KWP Szczecin,221,25-29,28,Attempted,Male,163,404461,5.464062048009574e-4
2007,KSP Warszawa,176,25-29,13,Attempted,Male,147,1790658,9.828789193693044e-5
2007,Polska,4658,25-29,414,Attempted,Male,3730,NA,NA
2008,KWP Wrocław,311,25-29,27,Attempted,Male,257,638659,4.869578288257114e-4
2008,KWP Bydgoszcz,323,25-29,24,Attempted,Male,262,354006,9.124139138884652e-4
2008,KWP Lublin,398,25-29,46,Attempted,Male,327,342039,0.0011636099976903218
2008,KWP Gorzów Wlkp.,201,25-29,16,Attempted,Male,157,122141,0.0016456390565002743
2008,KWP Łódź,379,25-29,21,Attempted,Male,299,696708,5.439868639372592e-4
2008,KWP Kraków,369,25-29,35,Attempted,Male,308,766683,4.812940941692981e-4
2008,KWP Radom,487,25-29,43,Attempted,Male,423,213715,0.0022787356994127695
2008,KWP Opole,157,25-29,15,Attempted,Male,119,118303,0.0013271007497696592
2008,KWP Rzeszów,239,25-29,19,Attempted,Male,192,183901,0.001299612291395914
2008,KWP Białystok,247,25-29,25,Attempted,Male,202,293407,8.418340394060128e-4
2008,KWP Gdańsk,287,25-29,19,Attempted,Male,237,582205,4.929535129378827e-4
2008,KWP Katowice,536,25-29,63,Attempted,Male,411,302397,0.001772504356855392
2008,KWP Kielce,135,25-29,16,Attempted,Male,118,195942,6.889793918608567e-4
2008,KWP Olsztyn,361,25-29,50,Attempted,Male,268,173718,0.00207808056735629
2008,KWP Poznań,367,25-29,29,Attempted,Male,297,540365,6.791705606395677e-4
2008,KWP Szczecin,226,25-29,25,Attempted,Male,165,404461,5.587683361312957e-4
2008,KSP Warszawa,214,25-29,22,Attempted,Male,165,1790658,1.1950914133240407e-4
2008,Polska,5237,25-29,495,Attempted,Male,4207,NA,NA
2009,KWP Wrocław,295,25-29,27,Attempted,Male,243,638659,4.6190533602438863e-4
2009,KWP Bydgoszcz,333,25-29,21,Attempted,Male,284,354006,9.406620226775817e-4
2009,KWP Lublin,390,25-29,35,Attempted,Male,326,342039,0.0011402208520081044
2009,KWP Gorzów Wlkp.,285,25-29,26,Attempted,Male,233,122141,0.002333368811455613
2009,KWP Łódź,471,25-29,44,Attempted,Male,385,696708,6.760364456845623e-4
2009,KWP Kraków,463,25-29,46,Attempted,Male,390,766683,6.039001777788213e-4
2009,KWP Radom,452,25-29,42,Attempted,Male,390,213715,0.0021149661932948084
2009,KWP Opole,185,25-29,12,Attempted,Male,150,118303,0.0015637811382636113
2009,KWP Rzeszów,242,25-29,17,Attempted,Male,210,183901,0.0013159254163925156
2009,KWP Białystok,251,25-29,21,Attempted,Male,204,293407,8.554669793154219e-4
2009,KWP Gdańsk,341,25-29,23,Attempted,Male,275,582205,5.857043481248014e-4
2009,KWP Katowice,712,25-29,52,Attempted,Male,580,302397,0.0023545207128377594
2009,KWP Kielce,155,25-29,11,Attempted,Male,132,195942,7.910504128772801e-4
2009,KWP Olsztyn,395,25-29,44,Attempted,Male,291,173718,0.002273800066774888
2009,KWP Poznań,451,25-29,21,Attempted,Male,368,540365,8.34621043183774e-4
2009,KWP Szczecin,238,25-29,30,Attempted,Male,178,404461,5.884374513241079e-4
2009,KSP Warszawa,254,25-29,21,Attempted,Male,200,1790658,1.4184729859079734e-4
2009,Polska,5913,25-29,493,Attempted,Male,4839,NA,NA
2010,KWP Wrocław,266,25-29,27,Attempted,Male,223,638659,4.1649769282199107e-4
2010,KWP Bydgoszcz,291,25-29,27,Attempted,Male,247,354006,8.220199657632922e-4
2010,KWP Lublin,359,25-29,29,Attempted,Male,305,342039,0.0010495879124895115
2010,KWP Gorzów Wlkp.,183,25-29,15,Attempted,Male,143,122141,0.0014982683947241302
2010,KWP Łódź,440,25-29,36,Attempted,Male,363,696708,6.31541477921884e-4
2010,KWP Kraków,467,25-29,47,Attempted,Male,397,766683,6.09117457932418e-4
2010,KWP Radom,416,25-29,32,Attempted,Male,357,213715,0.0019465175584306201
2010,KWP Opole,186,25-29,24,Attempted,Male,137,118303,0.0015722340092812525
2010,KWP Rzeszów,252,25-29,21,Attempted,Male,212,183901,0.0013703024997145203
2010,KWP Białystok,234,25-29,26,Attempted,Male,198,293407,7.975269847004332e-4
2010,KWP Gdańsk,268,25-29,17,Attempted,Male,224,582205,4.6031895981655944e-4
2010,KWP Katowice,698,25-29,60,Attempted,Male,557,302397,0.002308223957248253
2010,KWP Kielce,208,25-29,26,Attempted,Male,179,195942,0.0010615386185708015
2010,KWP Olsztyn,373,25-29,32,Attempted,Male,289,173718,0.002147158037739325
2010,KWP Poznań,374,25-29,26,Attempted,Male,313,540365,6.921247675182516e-4
2010,KWP Szczecin,206,25-29,24,Attempted,Male,150,404461,5.093198108099421e-4
2010,KSP Warszawa,235,25-29,24,Attempted,Male,186,1790658,1.3123667389306054e-4
2010,Polska,5456,25-29,493,Attempted,Male,4480,NA,NA
2011,KWP Wrocław,241,25-29,16,Attempted,Male,194,638659,3.7735317281992425e-4
2011,KWP Bydgoszcz,330,25-29,33,Attempted,Male,270,354006,9.321875900408468e-4
2011,KWP Lublin,313,25-29,24,Attempted,Male,265,342039,9.151003248167607e-4
2011,KWP Gorzów Wlkp.,214,25-29,26,Attempted,Male,175,122141,0.0017520734233386005
2011,KWP Łódź,436,25-29,40,Attempted,Male,357,696708,6.258001917589578e-4
2011,KWP Kraków,439,25-29,39,Attempted,Male,358,766683,5.725964968572409e-4
2011,KWP Radom,356,25-29,28,Attempted,Male,313,213715,0.001665769833656973
2011,KWP Opole,141,25-29,10,Attempted,Male,112,118303,0.001191854813487401
2011,KWP Rzeszów,197,25-29,19,Attempted,Male,167,183901,0.001071228541443494
2011,KWP Białystok,220,25-29,22,Attempted,Male,174,293407,7.498116950175013e-4
2011,KWP Gdańsk,260,25-29,14,Attempted,Male,222,582205,4.465780953444234e-4
2011,KWP Katowice,695,25-29,79,Attempted,Male,583,302397,0.0022983032239076444
2011,KWP Kielce,172,25-29,9,Attempted,Male,149,195942,8.778107807412398e-4
2011,KWP Olsztyn,336,25-29,35,Attempted,Male,228,173718,0.0019341691707249681
2011,KWP Poznań,326,25-29,25,Attempted,Male,274,540365,6.032959203501337e-4
2011,KWP Szczecin,245,25-29,28,Attempted,Male,196,404461,6.057444351865816e-4
2011,KSP Warszawa,203,25-29,14,Attempted,Male,158,1790658,1.1336614808634592e-4
2011,Polska,5124,25-29,461,Attempted,Male,4195,NA,NA
2012,KWP Wrocław,262,25-29,20,Attempted,Male,216,638659,4.102345696216604e-4
2012,KWP Bydgoszcz,348,25-29,39,Attempted,Male,294,354006,9.830341858612565e-4
2012,KWP Lublin,302,25-29,23,Attempted,Male,252,342039,8.829402495037116e-4
2012,KWP Gorzów Wlkp.,248,25-29,30,Attempted,Male,200,122141,0.0020304402289157615
2012,KWP Łódź,511,25-29,49,Attempted,Male,399,696708,7.334493073138244e-4
2012,KWP Kraków,468,25-29,40,Attempted,Male,386,766683,6.104217779708171e-4
2012,KWP Radom,350,25-29,28,Attempted,Male,308,213715,0.0016376950611796085
2012,KWP Opole,148,25-29,21,Attempted,Male,109,118303,0.001251024910610889
2012,KWP Rzeszów,233,25-29,19,Attempted,Male,190,183901,0.0012669860414027112
2012,KWP Białystok,232,25-29,32,Attempted,Male,196,293407,7.907105147457286e-4
2012,KWP Gdańsk,247,25-29,22,Attempted,Male,214,582205,4.242491905772022e-4
2012,KWP Katowice,612,25-29,59,Attempted,Male,480,302397,0.0020238296014841416
2012,KWP Kielce,576,25-29,63,Attempted,Male,445,195942,0.002939645405272989
2012,KWP Olsztyn,346,25-29,36,Attempted,Male,277,173718,0.001991733729377497
2012,KWP Poznań,294,25-29,20,Attempted,Male,251,540365,5.440766889047218e-4
2012,KWP Szczecin,229,25-29,25,Attempted,Male,177,404461,5.661856149294988e-4
2012,KSP Warszawa,385,25-29,36,Attempted,Male,309,1790658,2.1500476361203534e-4
2012,Polska,5791,25-29,562,Attempted,Male,4703,NA,NA
1999,KWP Wrocław,378,30-34,26,Attempted,Male,317,638659,5.918651424312505e-4
1999,KWP Bydgoszcz,263,30-34,17,Attempted,Male,227,354006,7.429252611537658e-4
1999,KWP Lublin,283,30-34,15,Attempted,Male,231,342039,8.27391028508445e-4
1999,KWP Gorzów Wlkp.,194,30-34,12,Attempted,Male,156,122141,0.0015883282435873293
1999,KWP Łódź,410,30-34,19,Attempted,Male,348,696708,5.884818316999374e-4
1999,KWP Kraków,302,30-34,22,Attempted,Male,255,766683,3.9390465159655296e-4
1999,KWP Radom,403,30-34,28,Attempted,Male,358,213715,0.0018856888847296634
1999,KWP Opole,189,30-34,13,Attempted,Male,160,118303,0.0015975926223341758
1999,KWP Rzeszów,205,30-34,16,Attempted,Male,170,183901,0.001114730208101098
1999,KWP Białystok,216,30-34,14,Attempted,Male,172,293407,7.361787551080921e-4
1999,KWP Gdańsk,325,30-34,33,Attempted,Male,270,582205,5.582226191805292e-4
1999,KWP Katowice,543,30-34,46,Attempted,Male,457,302397,0.0017956527346501454
1999,KWP Kielce,199,30-34,23,Attempted,Male,171,195942,0.001015606659113411
1999,KWP Olsztyn,201,30-34,10,Attempted,Male,169,173718,0.0011570476289158292
1999,KWP Poznań,644,30-34,48,Attempted,Male,507,540365,0.0011917870328389145
1999,KWP Szczecin,313,30-34,20,Attempted,Male,238,404461,7.738694212791839e-4
1999,KSP Warszawa,114,30-34,7,Attempted,Male,86,1790658,6.366374818642086e-5
1999,Polska,5182,30-34,369,Attempted,Male,4292,NA,NA
2000,KWP Wrocław,431,30-34,20,Attempted,Male,331,638659,6.748515248356322e-4
2000,KWP Bydgoszcz,262,30-34,16,Attempted,Male,220,354006,7.401004502748541e-4
2000,KWP Lublin,288,30-34,21,Attempted,Male,238,342039,8.420092445598309e-4
2000,KWP Gorzów Wlkp.,178,30-34,12,Attempted,Male,150,122141,0.0014573320997863124
2000,KWP Łódź,402,30-34,28,Attempted,Male,333,696708,5.76999259374085e-4
2000,KWP Kraków,545,30-34,45,Attempted,Male,437,766683,7.108544209275541e-4
2000,KWP Radom,439,30-34,33,Attempted,Male,378,213715,0.0020541375195938516
2000,KWP Opole,176,30-34,13,Attempted,Male,149,118303,0.001487705299104841
2000,KWP Rzeszów,348,30-34,27,Attempted,Male,281,183901,0.0018923224996057661
2000,KWP Białystok,242,30-34,20,Attempted,Male,202,293407,8.247928645192514e-4
2000,KWP Gdańsk,337,30-34,18,Attempted,Male,274,582205,5.788339158887333e-4
2000,KWP Katowice,574,30-34,48,Attempted,Male,450,302397,0.001898166979169767
2000,KWP Kielce,197,30-34,14,Attempted,Male,166,195942,0.0010053995570117689
2000,KWP Olsztyn,149,30-34,13,Attempted,Male,124,173718,8.577119239226793e-4
2000,KWP Poznań,644,30-34,48,Attempted,Male,486,540365,0.0011917870328389145
2000,KWP Szczecin,305,30-34,24,Attempted,Male,224,404461,7.540900111506425e-4
2000,KSP Warszawa,104,30-34,6,Attempted,Male,77,1790658,5.807920887182254e-5
2000,Polska,5621,30-34,406,Attempted,Male,4520,NA,NA
2001,KWP Wrocław,372,30-34,28,Attempted,Male,302,638659,5.824704576307544e-4
2001,KWP Bydgoszcz,268,30-34,18,Attempted,Male,225,354006,7.57049315548324e-4
2001,KWP Lublin,313,30-34,20,Attempted,Male,267,342039,9.151003248167607e-4
2001,KWP Gorzów Wlkp.,246,30-34,19,Attempted,Male,184,122141,0.0020140657109406343
2001,KWP Łódź,380,30-34,20,Attempted,Male,320,696708,5.454221854779908e-4
2001,KWP Kraków,591,30-34,43,Attempted,Male,484,766683,7.708531426939165e-4
2001,KWP Radom,464,30-34,43,Attempted,Male,406,213715,0.002171115738249538
2001,KWP Opole,152,30-34,12,Attempted,Male,130,118303,0.0012848363946814535
2001,KWP Rzeszów,316,30-34,31,Attempted,Male,248,183901,0.0017183158329753508
2001,KWP Białystok,221,30-34,17,Attempted,Male,185,293407,7.532199299948535e-4
2001,KWP Gdańsk,364,30-34,24,Attempted,Male,313,582205,6.252093334821926e-4
2001,KWP Katowice,558,30-34,30,Attempted,Male,453,302397,0.001845256401353188
2001,KWP Kielce,192,30-34,13,Attempted,Male,166,195942,9.79881801757663e-4
2001,KWP Olsztyn,240,30-34,13,Attempted,Male,206,173718,0.0013815494076606914
2001,KWP Poznań,641,30-34,44,Attempted,Male,509,540365,0.001186235229890907
2001,KWP Szczecin,301,30-34,25,Attempted,Male,211,404461,7.442003060863717e-4
2001,KSP Warszawa,93,30-34,10,Attempted,Male,68,1790658,5.193621562576438e-5
2001,Polska,5712,30-34,410,Attempted,Male,4677,NA,NA
2002,KWP Wrocław,372,30-34,20,Attempted,Male,298,638659,5.824704576307544e-4
2002,KWP Bydgoszcz,233,30-34,13,Attempted,Male,185,354006,6.581809347864161e-4
2002,KWP Lublin,329,30-34,24,Attempted,Male,288,342039,9.618786161811957e-4
2002,KWP Gorzów Wlkp.,243,30-34,20,Attempted,Male,200,122141,0.0019895039339779437
2002,KWP Łódź,385,30-34,22,Attempted,Male,323,696708,5.525987931816486e-4
2002,KWP Kraków,640,30-34,44,Attempted,Male,504,766683,8.347648245754765e-4
2002,KWP Radom,393,30-34,25,Attempted,Male,320,213715,0.001838897597267389
2002,KWP Opole,157,30-34,8,Attempted,Male,131,118303,0.0013271007497696592
2002,KWP Rzeszów,370,30-34,23,Attempted,Male,296,183901,0.002011952082914177
2002,KWP Białystok,242,30-34,21,Attempted,Male,204,293407,8.247928645192514e-4
2002,KWP Gdańsk,391,30-34,27,Attempted,Male,327,582205,6.71584751075652e-4
2002,KWP Katowice,643,30-34,32,Attempted,Male,511,302397,0.0021263438460037633
2002,KWP Kielce,206,30-34,13,Attempted,Male,170,195942,0.0010513315164691593
2002,KWP Olsztyn,267,30-34,24,Attempted,Male,212,173718,0.0015369737160225193
2002,KWP Poznań,617,30-34,42,Attempted,Male,472,540365,0.001141820806306848
2002,KWP Szczecin,311,30-34,28,Attempted,Male,235,404461,7.689245687470485e-4
2002,KSP Warszawa,129,30-34,14,Attempted,Male,100,1790658,7.204055715831834e-5
2002,Polska,5928,30-34,400,Attempted,Male,4776,NA,NA
2003,KWP Wrocław,420,30-34,28,Attempted,Male,336,638659,6.576279360347228e-4
2003,KWP Bydgoszcz,199,30-34,11,Attempted,Male,160,354006,5.621373649034198e-4
2003,KWP Lublin,399,30-34,29,Attempted,Male,344,342039,0.001166533640900599
2003,KWP Gorzów Wlkp.,180,30-34,13,Attempted,Male,129,122141,0.0014737066177614396
2003,KWP Łódź,335,30-34,21,Attempted,Male,279,696708,4.808327161450708e-4
2003,KWP Kraków,481,30-34,32,Attempted,Male,385,766683,6.273779384700065e-4
2003,KWP Radom,336,30-34,28,Attempted,Male,290,213715,0.001572187258732424
2003,KWP Opole,159,30-34,11,Attempted,Male,132,118303,0.0013440064918049416
2003,KWP Rzeszów,258,30-34,16,Attempted,Male,198,183901,0.001402928749707723
2003,KWP Białystok,259,30-34,23,Attempted,Male,214,293407,8.827328591342401e-4
2003,KWP Gdańsk,321,30-34,24,Attempted,Male,270,582205,5.513521869444612e-4
2003,KWP Katowice,667,30-34,42,Attempted,Male,525,302397,0.0022057097127286315
2003,KWP Kielce,185,30-34,24,Attempted,Male,162,195942,9.441569444019149e-4
2003,KWP Olsztyn,235,30-34,19,Attempted,Male,212,173718,0.001352767128334427
2003,KWP Poznań,511,30-34,26,Attempted,Male,396,540365,9.456571021439213e-4
2003,KWP Szczecin,331,30-34,31,Attempted,Male,247,404461,8.183730940684021e-4
2003,KSP Warszawa,191,30-34,12,Attempted,Male,149,1790658,1.0666470090882793e-4
2003,Polska,5467,30-34,390,Attempted,Male,4428,NA,NA
2004,KWP Wrocław,450,30-34,35,Attempted,Male,356,638659,7.04601360037203e-4
2004,KWP Bydgoszcz,361,30-34,19,Attempted,Male,290,354006,0.001019756727287108
2004,KWP Lublin,415,30-34,34,Attempted,Male,373,342039,0.0012133119322650342
2004,KWP Gorzów Wlkp.,211,30-34,12,Attempted,Male,174,122141,0.0017275116463759098
2004,KWP Łódź,382,30-34,26,Attempted,Male,317,696708,5.482928285594539e-4
2004,KWP Kraków,510,30-34,38,Attempted,Male,419,766683,6.652032195835828e-4
2004,KWP Radom,336,30-34,25,Attempted,Male,288,213715,0.001572187258732424
2004,KWP Opole,182,30-34,12,Attempted,Male,147,118303,0.0015384225252106879
2004,KWP Rzeszów,261,30-34,31,Attempted,Male,212,183901,0.0014192418747043245
2004,KWP Białystok,229,30-34,16,Attempted,Male,195,293407,7.804858098136718e-4
2004,KWP Gdańsk,301,30-34,23,Attempted,Male,240,582205,5.170000257641209e-4
2004,KWP Katowice,644,30-34,47,Attempted,Male,509,302397,0.0021296507571172993
2004,KWP Kielce,237,30-34,14,Attempted,Male,200,195942,0.0012095415990446153
2004,KWP Olsztyn,282,30-34,20,Attempted,Male,242,173718,0.0016233205540013124
2004,KWP Poznań,512,30-34,26,Attempted,Male,400,540365,9.475077031265904e-4
2004,KWP Szczecin,288,30-34,22,Attempted,Male,215,404461,7.120587646274919e-4
2004,KSP Warszawa,292,30-34,32,Attempted,Male,222,1790658,1.6306854798627096e-4
2004,Polska,5893,30-34,432,Attempted,Male,4799,NA,NA
2005,KWP Wrocław,338,30-34,25,Attempted,Male,268,638659,5.292339104279436e-4
2005,KWP Bydgoszcz,327,30-34,26,Attempted,Male,267,354006,9.237131574041118e-4
2005,KWP Lublin,383,30-34,30,Attempted,Male,315,342039,0.001119755349536164
2005,KWP Gorzów Wlkp.,191,30-34,17,Attempted,Male,152,122141,0.0015637664666246387
2005,KWP Łódź,378,30-34,31,Attempted,Male,305,696708,5.425515423965277e-4
2005,KWP Kraków,471,30-34,34,Attempted,Male,395,766683,6.143347380860147e-4
2005,KWP Radom,364,30-34,26,Attempted,Male,324,213715,0.0017032028636267927
2005,KWP Opole,163,30-34,10,Attempted,Male,123,118303,0.0013778179758755062
2005,KWP Rzeszów,270,30-34,19,Attempted,Male,227,183901,0.001468181249694129
2005,KWP Białystok,223,30-34,17,Attempted,Male,181,293407,7.600363999495581e-4
2005,KWP Gdańsk,339,30-34,24,Attempted,Male,279,582205,5.822691320067673e-4
2005,KWP Katowice,664,30-34,51,Attempted,Male,549,302397,0.002195788979388023
2005,KWP Kielce,174,30-34,14,Attempted,Male,153,195942,8.880178828428821e-4
2005,KWP Olsztyn,308,30-34,26,Attempted,Male,256,173718,0.0017729884064978873
2005,KWP Poznań,496,30-34,50,Attempted,Male,381,540365,9.178980874038844e-4
2005,KWP Szczecin,272,30-34,20,Attempted,Male,222,404461,6.72499944370409e-4
2005,KSP Warszawa,264,30-34,28,Attempted,Male,199,1790658,1.4743183790539568e-4
2005,Polska,5625,30-34,448,Attempted,Male,4596,NA,NA
2006,KWP Wrocław,320,30-34,38,Attempted,Male,253,638659,5.010498560264554e-4
2006,KWP Bydgoszcz,251,30-34,19,Attempted,Male,218,354006,7.090275306068258e-4
2006,KWP Lublin,345,30-34,17,Attempted,Male,293,342039,0.0010086569075456308
2006,KWP Gorzów Wlkp.,223,30-34,17,Attempted,Male,179,122141,0.0018257587542266725
2006,KWP Łódź,389,30-34,32,Attempted,Male,320,696708,5.583400793445748e-4
2006,KWP Kraków,386,30-34,28,Attempted,Male,306,766683,5.034675348220843e-4
2006,KWP Radom,312,30-34,21,Attempted,Male,271,213715,0.0014598881688229653
2006,KWP Opole,181,30-34,17,Attempted,Male,135,118303,0.0015299696541930467
2006,KWP Rzeszów,265,30-34,23,Attempted,Male,228,183901,0.0014409927080331266
2006,KWP Białystok,184,30-34,15,Attempted,Male,151,293407,6.271152358328192e-4
2006,KWP Gdańsk,347,30-34,24,Attempted,Male,274,582205,5.960099964789035e-4
2006,KWP Katowice,626,30-34,51,Attempted,Male,508,302397,0.0020701263570736483
2006,KWP Kielce,187,30-34,12,Attempted,Male,157,195942,9.543640465035572e-4
2006,KWP Olsztyn,295,30-34,26,Attempted,Male,224,173718,0.0016981544802496
2006,KWP Poznań,415,30-34,19,Attempted,Male,330,540365,7.679994078076855e-4
2006,KWP Szczecin,234,30-34,21,Attempted,Male,183,404461,5.785477462598371e-4
2006,KSP Warszawa,192,30-34,16,Attempted,Male,144,1790658,1.0722315484028775e-4
2006,Polska,5152,30-34,396,Attempted,Male,4174,NA,NA
2007,KWP Wrocław,282,30-34,22,Attempted,Male,229,638659,4.4155018562331384e-4
2007,KWP Bydgoszcz,251,30-34,16,Attempted,Male,197,354006,7.090275306068258e-4
2007,KWP Lublin,295,30-34,21,Attempted,Male,247,342039,8.624747470317712e-4
2007,KWP Gorzów Wlkp.,190,30-34,19,Attempted,Male,152,122141,0.0015555792076370751
2007,KWP Łódź,390,30-34,36,Attempted,Male,298,696708,5.597754008853063e-4
2007,KWP Kraków,337,30-34,23,Attempted,Male,269,766683,4.395558529405243e-4
2007,KWP Radom,301,30-34,23,Attempted,Male,257,213715,0.0014084177526144633
2007,KWP Opole,148,30-34,11,Attempted,Male,123,118303,0.001251024910610889
2007,KWP Rzeszów,198,30-34,15,Attempted,Male,160,183901,0.0010766662497756945
2007,KWP Białystok,215,30-34,9,Attempted,Male,185,293407,7.327705201307399e-4
2007,KWP Gdańsk,267,30-34,17,Attempted,Male,225,582205,4.5860135175754247e-4
2007,KWP Katowice,514,30-34,45,Attempted,Male,409,302397,0.001699752312357596
2007,KWP Kielce,139,30-34,10,Attempted,Male,119,195942,7.093935960641414e-4
2007,KWP Olsztyn,306,30-34,25,Attempted,Male,229,173718,0.0017614754947673816
2007,KWP Poznań,428,30-34,35,Attempted,Male,321,540365,7.920572205823842e-4
2007,KWP Szczecin,221,30-34,16,Attempted,Male,163,404461,5.464062048009574e-4
2007,KSP Warszawa,176,30-34,16,Attempted,Male,147,1790658,9.828789193693044e-5
2007,Polska,4658,30-34,359,Attempted,Male,3730,NA,NA
2008,KWP Wrocław,311,30-34,22,Attempted,Male,257,638659,4.869578288257114e-4
2008,KWP Bydgoszcz,323,30-34,29,Attempted,Male,262,354006,9.124139138884652e-4
2008,KWP Lublin,398,30-34,36,Attempted,Male,327,342039,0.0011636099976903218
2008,KWP Gorzów Wlkp.,201,30-34,18,Attempted,Male,157,122141,0.0016456390565002743
2008,KWP Łódź,379,30-34,22,Attempted,Male,299,696708,5.439868639372592e-4
2008,KWP Kraków,369,30-34,33,Attempted,Male,308,766683,4.812940941692981e-4
2008,KWP Radom,487,30-34,37,Attempted,Male,423,213715,0.0022787356994127695
2008,KWP Opole,157,30-34,18,Attempted,Male,119,118303,0.0013271007497696592
2008,KWP Rzeszów,239,30-34,20,Attempted,Male,192,183901,0.001299612291395914
2008,KWP Białystok,247,30-34,13,Attempted,Male,202,293407,8.418340394060128e-4
2008,KWP Gdańsk,287,30-34,24,Attempted,Male,237,582205,4.929535129378827e-4
2008,KWP Katowice,536,30-34,37,Attempted,Male,411,302397,0.001772504356855392
2008,KWP Kielce,135,30-34,10,Attempted,Male,118,195942,6.889793918608567e-4
2008,KWP Olsztyn,361,30-34,28,Attempted,Male,268,173718,0.00207808056735629
2008,KWP Poznań,367,30-34,38,Attempted,Male,297,540365,6.791705606395677e-4
2008,KWP Szczecin,226,30-34,22,Attempted,Male,165,404461,5.587683361312957e-4
2008,KSP Warszawa,214,30-34,14,Attempted,Male,165,1790658,1.1950914133240407e-4
2008,Polska,5237,30-34,421,Attempted,Male,4207,NA,NA
2009,KWP Wrocław,295,30-34,23,Attempted,Male,243,638659,4.6190533602438863e-4
2009,KWP Bydgoszcz,333,30-34,23,Attempted,Male,284,354006,9.406620226775817e-4
2009,KWP Lublin,390,30-34,37,Attempted,Male,326,342039,0.0011402208520081044
2009,KWP Gorzów Wlkp.,285,30-34,16,Attempted,Male,233,122141,0.002333368811455613
2009,KWP Łódź,471,30-34,35,Attempted,Male,385,696708,6.760364456845623e-4
2009,KWP Kraków,463,30-34,35,Attempted,Male,390,766683,6.039001777788213e-4
2009,KWP Radom,452,30-34,32,Attempted,Male,390,213715,0.0021149661932948084
2009,KWP Opole,185,30-34,20,Attempted,Male,150,118303,0.0015637811382636113
2009,KWP Rzeszów,242,30-34,17,Attempted,Male,210,183901,0.0013159254163925156
2009,KWP Białystok,251,30-34,16,Attempted,Male,204,293407,8.554669793154219e-4
