year,garnizon,sex,suicides,outcome
2006,KWP Radom,Male,271,Attempted
2006,KWP Opole,Male,135,Attempted
2006,KWP Rzeszów,Male,228,Attempted
2006,KWP Białystok,Male,151,Attempted
2006,KWP Gdańsk,Male,274,Attempted
2006,KWP Katowice,Male,508,Attempted
2006,KWP Kielce,Male,157,Attempted
2006,KWP Olsztyn,Male,224,Attempted
2006,KWP Poznań,Male,330,Attempted
2006,KWP Szczecin,Male,183,Attempted
2006,KSP Warszawa,Male,144,Attempted
2007,KWP Wrocław,Male,229,Attempted
2007,KWP Bydgoszcz,Male,197,Attempted
2007,KWP Lublin,Male,247,Attempted
2007,KWP Gorzów Wlkp.,Male,152,Attempted
2007,KWP Łódź,Male,298,Attempted
2007,KWP Kraków,Male,269,Attempted
2007,KWP Radom,Male,257,Attempted
2007,KWP Opole,Male,123,Attempted
2007,KWP Rzeszów,Male,160,Attempted
2007,KWP Białystok,Male,185,Attempted
2007,KWP Gdańsk,Male,225,Attempted
2007,KWP Katowice,Male,409,Attempted
2007,KWP Kielce,Male,119,Attempted
2007,KWP Olsztyn,Male,229,Attempted
2007,KWP Poznań,Male,321,Attempted
2007,KWP Szczecin,Male,163,Attempted
2007,KSP Warszawa,Male,147,Attempted
2008,KWP Wrocław,Male,257,Attempted
2008,KWP Bydgoszcz,Male,262,Attempted
2008,KWP Lublin,Male,327,Attempted
2008,KWP Gorzów Wlkp.,Male,157,Attempted
2008,KWP Łódź,Male,299,Attempted
2008,KWP Kraków,Male,308,Attempted
2008,KWP Radom,Male,423,Attempted
2008,KWP Opole,Male,119,Attempted
2008,KWP Rzeszów,Male,192,Attempted
2008,KWP Białystok,Male,202,Attempted
2008,KWP Gdańsk,Male,237,Attempted
2008,KWP Katowice,Male,411,Attempted
2008,KWP Kielce,Male,118,Attempted
2008,KWP Olsztyn,Male,268,Attempted
2008,KWP Poznań,Male,297,Attempted
2008,KWP Szczecin,Male,165,Attempted
2008,KSP Warszawa,Male,165,Attempted
2009,KWP Wrocław,Male,243,Attempted
2009,KWP Bydgoszcz,Male,284,Attempted
2009,KWP Lublin,Male,326,Attempted
2009,KWP Gorzów Wlkp.,Male,233,Attempted
2009,KWP Łódź,Male,385,Attempted
2009,KWP Kraków,Male,390,Attempted
2009,KWP Radom,Male,390,Attempted
2009,KWP Opole,Male,150,Attempted
2009,KWP Rzeszów,Male,210,Attempted
2009,KWP Białystok,Male,204,Attempted
2009,KWP Gdańsk,Male,275,Attempted
2009,KWP Katowice,Male,580,Attempted
2009,KWP Kielce,Male,132,Attempted
2009,KWP Olsztyn,Male,291,Attempted
2009,KWP Poznań,Male,368,Attempted
2009,KWP Szczecin,Male,178,Attempted
2009,KSP Warszawa,Male,200,Attempted
2010,KWP Wrocław,Male,223,Attempted
2010,KWP Bydgoszcz,Male,247,Attempted
2010,KWP Lublin,Male,305,Attempted
2010,KWP Gorzów Wlkp.,Male,143,Attempted
2010,KWP Łódź,Male,363,Attempted
2010,KWP Kraków,Male,397,Attempted
2010,KWP Radom,Male,357,Attempted
2010,KWP Opole,Male,137,Attempted
2010,KWP Rzeszów,Male,212,Attempted
2010,KWP Białystok,Male,198,Attempted
2010,KWP Gdańsk,Male,224,Attempted
2010,KWP Katowice,Male,557,Attempted
2010,KWP Kielce,Male,179,Attempted
2010,KWP Olsztyn,Male,289,Attempted
2010,KWP Poznań,Male,313,Attempted
2010,KWP Szczecin,Male,150,Attempted
2010,KSP Warszawa,Male,186,Attempted
2011,KWP Wrocław,Male,194,Attempted
2011,KWP Bydgoszcz,Male,270,Attempted
2011,KWP Lublin,Male,265,Attempted
2011,KWP Gorzów Wlkp.,Male,175,Attempted
2011,KWP Łódź,Male,357,Attempted
2011,KWP Kraków,Male,358,Attempted
2011,KWP Radom,Male,313,Attempted
2011,KWP Opole,Male,112,Attempted
2011,KWP Rzeszów,Male,167,Attempted
2011,KWP Białystok,Male,174,Attempted
2011,KWP Gdańsk,Male,222,Attempted
2011,KWP Katowice,Male,583,Attempted
2011,KWP Kielce,Male,149,Attempted
2011,KWP Olsztyn,Male,228,Attempted
2011,KWP Poznań,Male,274,Attempted
2011,KWP Szczecin,Male,196,Attempted
2011,KSP Warszawa,Male,158,Attempted
2012,KWP Wrocław,Male,216,Attempted
2012,KWP Bydgoszcz,Male,294,Attempted
2012,KWP Lublin,Male,252,Attempted
2012,KWP Gorzów Wlkp.,Male,200,Attempted
2012,KWP Łódź,Male,399,Attempted
2012,KWP Kraków,Male,386,Attempted
2012,KWP Radom,Male,308,Attempted
2012,KWP Opole,Male,109,Attempted
2012,KWP Rzeszów,Male,190,Attempted
2012,KWP Białystok,Male,196,Attempted
2012,KWP Gdańsk,Male,214,Attempted
2012,KWP Katowice,Male,480,Attempted
2012,KWP Kielce,Male,445,Attempted
2012,KWP Olsztyn,Male,277,Attempted
2012,KWP Poznań,Male,251,Attempted
2012,KWP Szczecin,Male,177,Attempted
2012,KSP Warszawa,Male,309,Attempted
1999,KWP Wrocław,Female,61,Attempted
1999,KWP Bydgoszcz,Female,36,Attempted
1999,KWP Lublin,Female,52,Attempted
1999,KWP Gorzów Wlkp.,Female,38,Attempted
1999,KWP Łódź,Female,62,Attempted
1999,KWP Kraków,Female,47,Attempted
1999,KWP Radom,Female,45,Attempted
1999,KWP Opole,Female,29,Attempted
1999,KWP Rzeszów,Female,35,Attempted
1999,KWP Białystok,Female,44,Attempted
1999,KWP Gdańsk,Female,55,Attempted
1999,KWP Katowice,Female,86,Attempted
1999,KWP Kielce,Female,28,Attempted
1999,KWP Olsztyn,Female,32,Attempted
1999,KWP Poznań,Female,137,Attempted
1999,KWP Szczecin,Female,75,Attempted
1999,KSP Warszawa,Female,28,Attempted
2000,KWP Wrocław,Female,100,Attempted
2000,KWP Bydgoszcz,Female,42,Attempted
2000,KWP Lublin,Female,50,Attempted
2000,KWP Gorzów Wlkp.,Female,28,Attempted
2000,KWP Łódź,Female,69,Attempted
2000,KWP Kraków,Female,108,Attempted
2000,KWP Radom,Female,61,Attempted
2000,KWP Opole,Female,27,Attempted
2000,KWP Rzeszów,Female,67,Attempted
2000,KWP Białystok,Female,40,Attempted
2000,KWP Gdańsk,Female,63,Attempted
2000,KWP Katowice,Female,124,Attempted
2000,KWP Kielce,Female,31,Attempted
2000,KWP Olsztyn,Female,25,Attempted
2000,KWP Poznań,Female,158,Attempted
2000,KWP Szczecin,Female,81,Attempted
2000,KSP Warszawa,Female,27,Attempted
2001,KWP Wrocław,Female,70,Attempted
2001,KWP Bydgoszcz,Female,43,Attempted
2001,KWP Lublin,Female,46,Attempted
2001,KWP Gorzów Wlkp.,Female,62,Attempted
2001,KWP Łódź,Female,60,Attempted
2001,KWP Kraków,Female,107,Attempted
2001,KWP Radom,Female,58,Attempted
2001,KWP Opole,Female,22,Attempted
2001,KWP Rzeszów,Female,68,Attempted
2001,KWP Białystok,Female,36,Attempted
2001,KWP Gdańsk,Female,51,Attempted
2001,KWP Katowice,Female,105,Attempted
2001,KWP Kielce,Female,26,Attempted
2001,KWP Olsztyn,Female,34,Attempted
2001,KWP Poznań,Female,132,Attempted
2001,KWP Szczecin,Female,90,Attempted
2001,KSP Warszawa,Female,25,Attempted
2002,KWP Wrocław,Female,74,Attempted
2002,KWP Bydgoszcz,Female,48,Attempted
2002,KWP Lublin,Female,41,Attempted
2002,KWP Gorzów Wlkp.,Female,43,Attempted
2002,KWP Łódź,Female,62,Attempted
