year,garnizon,outcome,total,percentage
2002,KWP Bydgoszcz,Fatal,216,6.101591498449179e-4
2002,KWP Gdańsk,Attempted,391,6.71584751075652e-4
2002,KWP Gdańsk,Fatal,360,6.183389012461247e-4
2002,KWP Gorzów Wlkp.,Attempted,243,0.0019895039339779437
2002,KWP Gorzów Wlkp.,Fatal,194,0.0015883282435873293
2002,KWP Katowice,Attempted,643,0.0021263438460037633
2002,KWP Katowice,Fatal,544,0.0017989596457636816
2002,KWP Kielce,Attempted,206,0.0010513315164691593
2002,KWP Kielce,Fatal,190,9.696746996560206e-4
2002,KWP Kraków,Attempted,640,8.347648245754765e-4
2002,KWP Kraków,Fatal,542,7.069414608123566e-4
2002,KWP Łódź,Attempted,385,5.525987931816486e-4
2002,KWP Łódź,Fatal,338,4.851386807672655e-4
2002,KWP Lublin,Attempted,329,9.618786161811957e-4
2002,KWP Lublin,Fatal,288,8.420092445598309e-4
2002,KWP Olsztyn,Attempted,267,0.0015369737160225193
2002,KWP Olsztyn,Fatal,228,0.001312471937277657
2002,KWP Opole,Attempted,157,0.0013271007497696592
2002,KWP Opole,Fatal,134,0.001132684716363913
2002,KWP Poznań,Attempted,617,0.001141820806306848
2002,KWP Poznań,Fatal,506,9.364040972305756e-4
2002,KWP Radom,Attempted,393,0.001838897597267389
2002,KWP Radom,Fatal,369,0.00172659850735793
2002,KWP Rzeszów,Attempted,370,0.002011952082914177
2002,KWP Rzeszów,Fatal,320,0.0017400666663041529
2002,KWP Szczecin,Attempted,311,7.689245687470485e-4
2002,KWP Szczecin,Fatal,210,5.192095158742129e-4
2002,KWP Wrocław,Attempted,372,5.824704576307544e-4
2002,KWP Wrocław,Fatal,347,5.433259376286876e-4
2003,KSP Warszawa,Attempted,191,1.0666470090882793e-4
2003,KSP Warszawa,Fatal,167,9.326180655379196e-5
2003,KWP Białystok,Attempted,259,8.827328591342401e-4
2003,KWP Białystok,Fatal,217,7.395869900854445e-4
2003,KWP Bydgoszcz,Attempted,199,5.621373649034198e-4
2003,KWP Bydgoszcz,Fatal,183,5.169403908408332e-4
2003,KWP Gdańsk,Attempted,321,5.513521869444612e-4
2003,KWP Gdańsk,Fatal,296,5.084119854690359e-4
2003,KWP Gorzów Wlkp.,Attempted,180,0.0014737066177614396
2003,KWP Gorzów Wlkp.,Fatal,143,0.0011707780352215882
2003,KWP Katowice,Attempted,667,0.0022057097127286315
2003,KWP Katowice,Fatal,522,0.0017262076012658856
2003,KWP Kielce,Attempted,185,9.441569444019149e-4
2003,KWP Kielce,Fatal,169,8.625001275887762e-4
2003,KWP Kraków,Attempted,481,6.273779384700065e-4
2003,KWP Kraków,Fatal,416,5.425971359740597e-4
2003,KWP Łódź,Attempted,335,4.808327161450708e-4
2003,KWP Łódź,Fatal,300,4.305964622194664e-4
2003,KWP Lublin,Attempted,399,0.001166533640900599
2003,KWP Lublin,Fatal,355,0.0010378933396484027
2003,KWP Olsztyn,Attempted,235,0.001352767128334427
2003,KWP Olsztyn,Fatal,199,0.0011455347171853234
2003,KWP Opole,Attempted,159,0.0013440064918049416
2003,KWP Opole,Fatal,128,0.0010819674902580662
2003,KWP Poznań,Attempted,511,9.456571021439213e-4
2003,KWP Poznań,Fatal,406,7.513439989636634e-4
2003,KWP Radom,Attempted,336,0.001572187258732424
2003,KWP Radom,Fatal,310,0.0014505299113305103
2003,KWP Rzeszów,Attempted,258,0.001402928749707723
2003,KWP Rzeszów,Fatal,229,0.0012452352080739094
2003,KWP Szczecin,Attempted,331,8.183730940684021e-4
2003,KWP Szczecin,Fatal,219,5.41461352268822e-4
2003,KWP Wrocław,Attempted,420,6.576279360347228e-4
2003,KWP Wrocław,Fatal,375,5.871678000310025e-4
2004,KSP Warszawa,Attempted,292,1.6306854798627096e-4
2004,KSP Warszawa,Fatal,241,1.3458739748181954e-4
2004,KWP Białystok,Attempted,229,7.804858098136718e-4
2004,KWP Białystok,Fatal,180,6.134822959234102e-4
2004,KWP Bydgoszcz,Attempted,361,0.001019756727287108
2004,KWP Bydgoszcz,Fatal,325,9.180635356462885e-4
2004,KWP Gdańsk,Attempted,301,5.170000257641209e-4
2004,KWP Gdańsk,Fatal,261,4.4829570340344034e-4
2004,KWP Gorzów Wlkp.,Attempted,211,0.0017275116463759098
2004,KWP Gorzów Wlkp.,Fatal,155,0.0012690251430723509
2004,KWP Katowice,Attempted,644,0.0021296507571172993
2004,KWP Katowice,Fatal,486,0.0016071588011785831
2004,KWP Kielce,Attempted,237,0.0012095415990446153
2004,KWP Kielce,Fatal,215,0.0010972634759265497
2004,KWP Kraków,Attempted,510,6.652032195835828e-4
2004,KWP Kraków,Fatal,441,5.752051369340393e-4
2004,KWP Łódź,Attempted,382,5.482928285594539e-4
2004,KWP Łódź,Fatal,338,4.851386807672655e-4
2004,KWP Lublin,Attempted,415,0.0012133119322650342
2004,KWP Lublin,Fatal,342,9.99885977914799e-4
2004,KWP Olsztyn,Attempted,282,0.0016233205540013124
2004,KWP Olsztyn,Fatal,219,0.001260663834490381
2004,KWP Opole,Attempted,182,0.0015384225252106879
2004,KWP Opole,Fatal,148,0.001251024910610889
2004,KWP Poznań,Attempted,512,9.475077031265904e-4
2004,KWP Poznań,Fatal,424,7.846548166517076e-4
2004,KWP Radom,Attempted,336,0.001572187258732424
2004,KWP Radom,Fatal,312,0.0014598881688229653
2004,KWP Rzeszów,Attempted,261,0.0014192418747043245
2004,KWP Rzeszów,Fatal,212,0.0011527941664265012
2004,KWP Szczecin,Attempted,288,7.120587646274919e-4
2004,KWP Szczecin,Fatal,197,4.87067974415333e-4
2004,KWP Wrocław,Attempted,450,7.04601360037203e-4
2004,KWP Wrocław,Fatal,397,6.216149776328213e-4
2005,KSP Warszawa,Attempted,264,1.4743183790539568e-4
2005,KSP Warszawa,Fatal,225,1.2565213457846222e-4
2005,KWP Białystok,Attempted,223,7.600363999495581e-4
2005,KWP Białystok,Fatal,181,6.168905309007624e-4
2005,KWP Bydgoszcz,Attempted,327,9.237131574041118e-4
2005,KWP Bydgoszcz,Fatal,277,7.82472613458529e-4
2005,KWP Gdańsk,Attempted,339,5.822691320067673e-4
2005,KWP Gdańsk,Fatal,290,4.981063371149337e-4
2005,KWP Gorzów Wlkp.,Attempted,191,0.0015637664666246387
2005,KWP Gorzów Wlkp.,Fatal,142,0.0011625907762340246
2005,KWP Katowice,Attempted,664,0.002195788979388023
2005,KWP Katowice,Fatal,505,0.0016699901123357706
2005,KWP Kielce,Attempted,174,8.880178828428821e-4
2005,KWP Kielce,Fatal,157,8.012575149789223e-4
2005,KWP Kraków,Attempted,471,6.143347380860147e-4
2005,KWP Kraków,Fatal,411,5.360755357820638e-4
2005,KWP Łódź,Attempted,378,5.425515423965277e-4
2005,KWP Łódź,Fatal,313,4.492556422489766e-4
2005,KWP Lublin,Attempted,383,0.001119755349536164
2005,KWP Lublin,Fatal,309,9.034057519756519e-4
2005,KWP Olsztyn,Attempted,308,0.0017729884064978873
2005,KWP Olsztyn,Fatal,205,0.0011800734523768406
2005,KWP Opole,Attempted,163,0.0013778179758755062
2005,KWP Opole,Fatal,111,9.382686829581667e-4
2005,KWP Poznań,Attempted,496,9.178980874038844e-4
2005,KWP Poznań,Fatal,416,7.698500087903547e-4
2005,KWP Radom,Attempted,364,0.0017032028636267927
2005,KWP Radom,Fatal,341,0.0015955829024635612
2005,KWP Rzeszów,Attempted,270,0.001468181249694129
2005,KWP Rzeszów,Fatal,223,0.0012126089580807066
2005,KWP Szczecin,Attempted,272,6.72499944370409e-4
2005,KWP Szczecin,Fatal,209,5.167370896081452e-4
2005,KWP Wrocław,Attempted,338,5.292339104279436e-4
2005,KWP Wrocław,Fatal,306,4.79128924825298e-4
2006,KSP Warszawa,Attempted,192,1.0722315484028775e-4
2006,KSP Warszawa,Fatal,168,9.38202604852518e-5
2006,KWP Białystok,Attempted,184,6.271152358328192e-4
2006,KWP Białystok,Fatal,129,4.3966231207844393e-4
2006,KWP Bydgoszcz,Attempted,251,7.090275306068258e-4
2006,KWP Bydgoszcz,Fatal,225,6.355824477551228e-4
2006,KWP Gdańsk,Attempted,347,5.960099964789035e-4
2006,KWP Gdańsk,Fatal,292,5.015415532329678e-4
2006,KWP Gorzów Wlkp.,Attempted,223,0.0018257587542266725
2006,KWP Gorzów Wlkp.,Fatal,160,0.0013099614380101686
2006,KWP Katowice,Attempted,626,0.0020701263570736483
2006,KWP Katowice,Fatal,448,0.0014814961788642083
2006,KWP Kielce,Attempted,187,9.543640465035572e-4
2006,KWP Kielce,Fatal,173,8.829143317920609e-4
2006,KWP Kraków,Attempted,386,5.034675348220843e-4
2006,KWP Kraków,Fatal,317,4.134694521725407e-4
2006,KWP Łódź,Attempted,389,5.583400793445748e-4
2006,KWP Łódź,Fatal,314,4.5069096378970815e-4
2006,KWP Lublin,Attempted,345,0.0010086569075456308
2006,KWP Lublin,Fatal,276,8.069255260365046e-4
2006,KWP Olsztyn,Attempted,295,0.0016981544802496
2006,KWP Olsztyn,Fatal,186,0.0010707007909370359
2006,KWP Opole,Attempted,181,0.0015299696541930467
2006,KWP Opole,Fatal,107,9.044571988876021e-4
2006,KWP Poznań,Attempted,415,7.679994078076855e-4
2006,KWP Poznań,Fatal,348,6.440091419688544e-4
2006,KWP Radom,Attempted,312,0.0014598881688229653
2006,KWP Radom,Fatal,277,0.0012961186627050043
2006,KWP Rzeszów,Attempted,265,0.0014409927080331266
2006,KWP Rzeszów,Fatal,216,0.001174544999755303
2006,KWP Szczecin,Attempted,234,5.785477462598371e-4
2006,KWP Szczecin,Fatal,165,4.079503339011672e-4
2006,KWP Wrocław,Attempted,320,5.010498560264554e-4
2006,KWP Wrocław,Fatal,289,4.5251065122389256e-4
2007,KSP Warszawa,Attempted,176,9.828789193693044e-5
2007,KSP Warszawa,Fatal,154,8.600190544481414e-5
2007,KWP Białystok,Attempted,215,7.327705201307399e-4
2007,KWP Białystok,Fatal,160,5.453175963763645e-4
2007,KWP Bydgoszcz,Attempted,251,7.090275306068258e-4
2007,KWP Bydgoszcz,Fatal,215,6.073343389660063e-4
2007,KWP Gdańsk,Attempted,267,4.5860135175754247e-4
2007,KWP Gdańsk,Fatal,208,3.572624762755387e-4
2007,KWP Gorzów Wlkp.,Attempted,190,0.0015555792076370751
2007,KWP Gorzów Wlkp.,Fatal,152,0.00124446336610966
2007,KWP Katowice,Attempted,514,0.001699752312357596
2007,KWP Katowice,Fatal,346,0.001144191245283518
2007,KWP Kielce,Attempted,139,7.093935960641414e-4
2007,KWP Kielce,Fatal,123,6.277367792510029e-4
2007,KWP Kraków,Attempted,337,4.395558529405243e-4
2007,KWP Kraków,Fatal,253,3.29992969714993e-4
2007,KWP Łódź,Attempted,390,5.597754008853063e-4
2007,KWP Łódź,Fatal,297,4.262904975972717e-4
2007,KWP Lublin,Attempted,295,8.624747470317712e-4
2007,KWP Lublin,Fatal,231,6.75361581574031e-4
2007,KWP Olsztyn,Attempted,306,0.0017614754947673816
2007,KWP Olsztyn,Fatal,157,9.037635708447024e-4
2007,KWP Opole,Attempted,148,0.001251024910610889
2007,KWP Opole,Fatal,88,7.438526495524205e-4
2007,KWP Poznań,Attempted,428,7.920572205823842e-4
2007,KWP Poznań,Fatal,360,6.662163537608838e-4
2007,KWP Radom,Attempted,301,0.0014084177526144633
2007,KWP Radom,Fatal,264,0.0012352899890040474
2007,KWP Rzeszów,Attempted,198,0.0010766662497756945
2007,KWP Rzeszów,Fatal,145,7.884677081690692e-4
2007,KWP Szczecin,Attempted,221,5.464062048009574e-4
2007,KWP Szczecin,Fatal,138,3.4119482471733984e-4
2007,KWP Wrocław,Attempted,282,4.4155018562331384e-4
2007,KWP Wrocław,Fatal,239,3.742216112197589e-4
2008,KSP Warszawa,Attempted,214,1.1950914133240407e-4
2008,KSP Warszawa,Fatal,187,1.044308851829886e-4
2008,KWP Białystok,Attempted,247,8.418340394060128e-4
2008,KWP Białystok,Fatal,182,6.202987658781146e-4
2008,KWP Bydgoszcz,Attempted,323,9.124139138884652e-4
2008,KWP Bydgoszcz,Fatal,269,7.598741264272357e-4
2008,KWP Gdańsk,Attempted,287,4.929535129378827e-4
2008,KWP Gdańsk,Fatal,228,3.916146374558789e-4
2008,KWP Gorzów Wlkp.,Attempted,201,0.0016456390565002743
2008,KWP Gorzów Wlkp.,Fatal,129,0.0010561564093956985
2008,KWP Katowice,Attempted,536,0.001772504356855392
2008,KWP Katowice,Fatal,368,0.001216943289781314
2008,KWP Kielce,Attempted,135,6.889793918608567e-4
2008,KWP Kielce,Fatal,119,6.073225750477182e-4
2008,KWP Kraków,Attempted,369,4.812940941692981e-4
2008,KWP Kraków,Fatal,302,3.9390465159655296e-4
2008,KWP Łódź,Attempted,379,5.439868639372592e-4
2008,KWP Łódź,Fatal,301,4.3203178376019795e-4
2008,KWP Lublin,Attempted,398,0.0011636099976903218
2008,KWP Lublin,Fatal,299,8.7416931987288e-4
2008,KWP Olsztyn,Attempted,361,0.00207808056735629
2008,KWP Olsztyn,Fatal,178,0.001024649144015013
2008,KWP Opole,Attempted,157,0.0013271007497696592
2008,KWP Opole,Fatal,85,7.184940364994971e-4
2008,KWP Poznań,Attempted,367,6.791705606395677e-4
2008,KWP Poznań,Fatal,296,5.477778908700601e-4
2008,KWP Radom,Attempted,487,0.0022787356994127695
2008,KWP Radom,Fatal,435,0.0020354210046089416
2008,KWP Rzeszów,Attempted,239,0.001299612291395914
2008,KWP Rzeszów,Fatal,162,8.809087498164774e-4
2008,KWP Szczecin,Attempted,226,5.587683361312957e-4
2008,KWP Szczecin,Fatal,152,3.758087924422874e-4
2008,KWP Wrocław,Attempted,311,4.869578288257114e-4
2008,KWP Wrocław,Fatal,272,4.2589237762248713e-4
2009,KSP Warszawa,Attempted,254,1.4184729859079734e-4
2009,KSP Warszawa,Fatal,208,1.1615841774364508e-4
2009,KWP Białystok,Attempted,251,8.554669793154219e-4
2009,KWP Białystok,Fatal,173,5.896246510819442e-4
2009,KWP Bydgoszcz,Attempted,333,9.406620226775817e-4
2009,KWP Bydgoszcz,Fatal,276,7.796478025796173e-4
2009,KWP Gdańsk,Attempted,341,5.857043481248014e-4
2009,KWP Gdańsk,Fatal,260,4.465780953444234e-4
2009,KWP Gorzów Wlkp.,Attempted,285,0.002333368811455613
2009,KWP Gorzów Wlkp.,Fatal,170,0.0013918340278858041
2009,KWP Katowice,Attempted,712,0.0023545207128377594
2009,KWP Katowice,Fatal,468,0.001547634401134932
2009,KWP Kielce,Attempted,155,7.910504128772801e-4
2009,KWP Kielce,Fatal,127,6.481509834542875e-4
2009,KWP Kraków,Attempted,463,6.039001777788213e-4
2009,KWP Kraków,Fatal,363,4.7346817393890305e-4
2009,KWP Łódź,Attempted,471,6.760364456845623e-4
2009,KWP Łódź,Fatal,369,5.296336485299437e-4
2009,KWP Lublin,Attempted,390,0.0011402208520081044
2009,KWP Lublin,Fatal,309,9.034057519756519e-4
2009,KWP Olsztyn,Attempted,395,0.002273800066774888
2009,KWP Olsztyn,Fatal,188,0.0010822137026675416
2009,KWP Opole,Attempted,185,0.0015637811382636113
2009,KWP Opole,Fatal,116,9.805330380463725e-4
2009,KWP Poznań,Attempted,451,8.34621043183774e-4
2009,KWP Poznań,Fatal,380,7.032283734142663e-4
2009,KWP Radom,Attempted,452,0.0021149661932948084
2009,KWP Radom,Fatal,385,0.0018014645672975692
2009,KWP Rzeszów,Attempted,242,0.0013159254163925156
2009,KWP Rzeszów,Fatal,176,9.57036666467284e-4
2009,KWP Szczecin,Attempted,238,5.884374513241079e-4
2009,KWP Szczecin,Fatal,168,4.153676126993703e-4
2009,KWP Wrocław,Attempted,295,4.6190533602438863e-4
2009,KWP Wrocław,Fatal,248,3.88313638420503e-4
2010,KSP Warszawa,Attempted,235,1.3123667389306054e-4
2010,KSP Warszawa,Fatal,190,1.061062469773681e-4
2010,KWP Białystok,Attempted,234,7.975269847004332e-4
2010,KWP Białystok,Fatal,168,5.725834761951828e-4
2010,KWP Bydgoszcz,Attempted,291,8.220199657632922e-4
2010,KWP Bydgoszcz,Fatal,252,7.118523414857375e-4
2010,KWP Gdańsk,Attempted,268,4.6031895981655944e-4
2010,KWP Gdańsk,Fatal,207,3.555448682165217e-4
2010,KWP Gorzów Wlkp.,Attempted,183,0.0014982683947241302
2010,KWP Gorzów Wlkp.,Fatal,129,0.0010561564093956985
2010,KWP Katowice,Attempted,698,0.002308223957248253
2010,KWP Katowice,Fatal,468,0.001547634401134932
2010,KWP Kielce,Attempted,208,0.0010615386185708015
2010,KWP Kielce,Fatal,184,9.390533933510937e-4
2010,KWP Kraków,Attempted,467,6.09117457932418e-4
2010,KWP Kraków,Fatal,349,4.552076934013145e-4
2010,KWP Łódź,Attempted,440,6.31541477921884e-4
2010,KWP Łódź,Fatal,334,4.793973946043393e-4
2010,KWP Lublin,Attempted,359,0.0010495879124895115
2010,KWP Lublin,Fatal,285,8.332383149289994e-4
2010,KWP Olsztyn,Attempted,373,0.002147158037739325
2010,KWP Olsztyn,Fatal,197,0.0011340218054548177
2010,KWP Opole,Attempted,186,0.0015722340092812525
2010,KWP Opole,Fatal,94,7.945698756582673e-4
2010,KWP Poznań,Attempted,374,6.921247675182516e-4
2010,KWP Poznań,Fatal,308,5.699851026620895e-4
2010,KWP Radom,Attempted,416,0.0019465175584306201
2010,KWP Radom,Fatal,354,0.0016564115761645182
2010,KWP Rzeszów,Attempted,252,0.0013703024997145203
2010,KWP Rzeszów,Fatal,191,0.0010386022914502912
2010,KWP Szczecin,Attempted,206,5.093198108099421e-4
2010,KWP Szczecin,Fatal,136,3.362499721852045e-4
2010,KWP Wrocław,Attempted,266,4.1649769282199107e-4
2010,KWP Wrocław,Fatal,241,3.7735317281992425e-4
2011,KSP Warszawa,Attempted,203,1.1336614808634592e-4
2011,KSP Warszawa,Fatal,185,1.0331397732006894e-4
2011,KWP Białystok,Attempted,220,7.498116950175013e-4
2011,KWP Białystok,Fatal,162,5.521340663310691e-4
2011,KWP Bydgoszcz,Attempted,330,9.321875900408468e-4
