year,garnizon,age,suicides,outcome
2007,KWP Bydgoszcz,0-6,0,Attempted
2007,KWP Lublin,0-6,0,Attempted
2007,KWP Gorzów Wlkp.,0-6,0,Attempted
2007,KWP Łódź,0-6,0,Attempted
2007,KWP Kraków,0-6,0,Attempted
2007,KWP Radom,0-6,0,Attempted
2007,KWP Opole,0-6,0,Attempted
2007,KWP Rzeszów,0-6,0,Attempted
2007,KWP Białystok,0-6,0,Attempted
2007,KWP Gdańsk,0-6,0,Attempted
2007,KWP Katowice,0-6,0,Attempted
2007,KWP Kielce,0-6,0,Attempted
2007,KWP Olsztyn,0-6,0,Attempted
2007,KWP Poznań,0-6,0,Attempted
2007,KWP Szczecin,0-6,0,Attempted
2007,KSP Warszawa,0-6,0,Attempted
2008,KWP Wrocław,0-6,0,Attempted
2008,KWP Bydgoszcz,0-6,0,Attempted
2008,KWP Lublin,0-6,0,Attempted
2008,KWP Gorzów Wlkp.,0-6,0,Attempted
2008,KWP Łódź,0-6,0,Attempted
2008,KWP Kraków,0-6,0,Attempted
2008,KWP Radom,0-6,0,Attempted
2008,KWP Opole,0-6,0,Attempted
2008,KWP Rzeszów,0-6,0,Attempted
2008,KWP Białystok,0-6,0,Attempted
2008,KWP Gdańsk,0-6,0,Attempted
2008,KWP Katowice,0-6,0,Attempted
2008,KWP Kielce,0-6,0,Attempted
2008,KWP Olsztyn,0-6,0,Attempted
2008,KWP Poznań,0-6,0,Attempted
2008,KWP Szczecin,0-6,0,Attempted
2008,KSP Warszawa,0-6,0,Attempted
2009,KWP Wrocław,0-6,0,Attempted
2009,KWP Bydgoszcz,0-6,0,Attempted
2009,KWP Lublin,0-6,0,Attempted
2009,KWP Gorzów Wlkp.,0-6,0,Attempted
2009,KWP Łódź,0-6,0,Attempted
2009,KWP Kraków,0-6,0,Attempted
2009,KWP Radom,0-6,0,Attempted
2009,KWP Opole,0-6,0,Attempted
2009,KWP Rzeszów,0-6,0,Attempted
2009,KWP Białystok,0-6,0,Attempted
2009,KWP Gdańsk,0-6,0,Attempted
2009,KWP Katowice,0-6,0,Attempted
2009,KWP Kielce,0-6,0,Attempted
2009,KWP Olsztyn,0-6,0,Attempted
2009,KWP Poznań,0-6,0,Attempted
2009,KWP Szczecin,0-6,0,Attempted
2009,KSP Warszawa,0-6,0,Attempted
2010,KWP Wrocław,0-6,0,Attempted
2010,KWP Bydgoszcz,0-6,0,Attempted
2010,KWP Lublin,0-6,0,Attempted
2010,KWP Gorzów Wlkp.,0-6,0,Attempted
2010,KWP Łódź,0-6,0,Attempted
2010,KWP Kraków,0-6,0,Attempted
2010,KWP Radom,0-6,0,Attempted
2010,KWP Opole,0-6,0,Attempted
2010,KWP Rzeszów,0-6,0,Attempted
2010,KWP Białystok,0-6,0,Attempted
2010,KWP Gdańsk,0-6,0,Attempted
2010,KWP Katowice,0-6,0,Attempted
2010,KWP Kielce,0-6,0,Attempted
2010,KWP Olsztyn,0-6,0,Attempted
2010,KWP Poznań,0-6,0,Attempted
2010,KWP Szczecin,0-6,0,Attempted
2010,KSP Warszawa,0-6,0,Attempted
2011,KWP Wrocław,0-6,0,Attempted
2011,KWP Bydgoszcz,0-6,0,Attempted
2011,KWP Lublin,0-6,0,Attempted
2011,KWP Gorzów Wlkp.,0-6,0,Attempted
2011,KWP Łódź,0-6,0,Attempted
2011,KWP Kraków,0-6,0,Attempted
2011,KWP Radom,0-6,0,Attempted
2011,KWP Opole,0-6,0,Attempted
2011,KWP Rzeszów,0-6,0,Attempted
2011,KWP Białystok,0-6,0,Attempted
2011,KWP Gdańsk,0-6,0,Attempted
2011,KWP Katowice,0-6,0,Attempted
2011,KWP Kielce,0-6,0,Attempted
2011,KWP Olsztyn,0-6,0,Attempted
2011,KWP Poznań,0-6,0,Attempted
2011,KWP Szczecin,0-6,0,Attempted
2011,KSP Warszawa,0-6,0,Attempted
2012,KWP Wrocław,0-6,0,Attempted
2012,KWP Bydgoszcz,0-6,0,Attempted
2012,KWP Lublin,0-6,0,Attempted
2012,KWP Gorzów Wlkp.,0-6,0,Attempted
2012,KWP Łódź,0-6,0,Attempted
2012,KWP Kraków,0-6,0,Attempted
2012,KWP Radom,0-6,0,Attempted
2012,KWP Opole,0-6,0,Attempted
2012,KWP Rzeszów,0-6,0,Attempted
2012,KWP Białystok,0-6,0,Attempted
2012,KWP Gdańsk,0-6,0,Attempted
2012,KWP Katowice,0-6,0,Attempted
